handle,product_id,current_title,vendor,category,price,tier,action_default,oecm_eligible,current_desc_chars,current_desc_preview,enrich_action,draft_meta_title,draft_meta_title_chars,draft_meta_desc,draft_meta_desc_chars,draft_body_html,steve_approve,steve_notes
sonic-armless-counter-stool-polypropylene-seat-back-6558cs,10042767475001,"Sonic armless counter stool, polypropylene seat & back (6558cs) — 6558CS",Brant Business Interiors,chairs,200.5,A,keep,yes,42,"Counter Height Chair   Counter Height: 36""",full-rewrite,"Sonic armless counter stool, poly | Brant Business Interiors",60,"Shop the Sonic armless counter stool, polypropylene seat & back (6558cs) — 6558CS at Brant Business Interiors — quality task seating for Ontario offices...",155,"<p><strong>Built for all-day comfort in demanding Ontario workplaces.</strong></p>
<p>The Sonic armless counter stool, polypropylene seat & back (6558cs) — 6558CS is a chair suited to professional environments including schools, healthcare facilities, and corporate offices across Ontario. Starting from $200.50.</p>
<p>Available from Brant Business Interiors — Ontario&#39;s OECM-eligible commercial furniture supplier since 1964. Delivery and installation across Ontario. Call <strong>1-800-835-9565</strong> for current pricing, lead times, or volume quotes.</p>",,
tritek-7472-3-chair,10016146129209,Tritek 7472-3 chair,Brant Business Interiors,chairs,849.99,A,keep,yes,35,Dimensions: W25.5 x D25 x H44.5 IN.,full-rewrite,Tritek 7472-3 chair | Brant Business Interiors,46,"Shop the Tritek 7472-3 chair at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-eligible. Call 1-800-8...",155,"<p><strong>Built for all-day comfort in demanding Ontario workplaces.</strong></p>
<p>The Tritek 7472-3 chair is a chair suited to professional environments including schools, healthcare facilities, and corporate offices across Ontario. Starting from $849.99.</p>
<p>Available from Brant Business Interiors — Ontario&#39;s OECM-eligible commercial furniture supplier since 1964. Delivery and installation across Ontario. Call <strong>1-800-835-9565</strong> for current pricing, lead times, or volume quotes.</p>",,
innovations-l-shape-desk-with-hutch,9785116819769,Innovations l-shape desk with hutch,Brant Business Interiors,desks,1699.99,A,keep,yes,72,"Size: 71"" x 71""   Requires Assembly   In Stock   Tack Board not included",full-rewrite,Innovations l-shape desk with hut | Brant Business Interiors,60,The Innovations l-shape desk with hutch from Brant Business Interiors — durable office desks for Ontario workplaces. OECM-eligible supplier. Request a q...,155,"<p><strong>Workspace that works as hard as your team.</strong></p>
<p>The Innovations l-shape desk with hutch is a desk suited to professional environments including schools, healthcare facilities, and corporate offices across Ontario. Starting from $1,699.99.</p>
<p>Available from Brant Business Interiors — Ontario&#39;s OECM-eligible commercial furniture supplier since 1964. Delivery and installation across Ontario. Call <strong>1-800-835-9565</strong> for current pricing, lead times, or volume quotes.</p>",,
zira-workstation-3-person,9688253759801,Zira workstation 3 person,Global Furniture Group,desks,8779.99,A,keep,yes,73,Floor Space: 6' x 24'    Includes all product shown.   4-6 Week Lead Time,full-rewrite,Zira workstation 3 person | Brant Business Interiors,52,The Zira workstation 3 person from Brant Business Interiors — durable office desks for Ontario workplaces. OECM-eligible supplier. Request a quote: 1-80...,155,"<p><strong>Workspace that works as hard as your team.</strong></p>
<p>Supplied by Global Furniture Group. The Zira workstation 3 person is a desk suited to professional environments including schools, healthcare facilities, and corporate offices across Ontario. Starting from $8,779.99.</p>
<p>Available from Brant Business Interiors — Ontario&#39;s OECM-eligible commercial furniture supplier since 1964. Delivery and installation across Ontario. Call <strong>1-800-835-9565</strong> for current pricing, lead times, or volume quotes.</p>",,
coffee-table-1,9862922142009,Coffee table,Brant Business Interiors,tables,359.99,A,keep,yes,47,"Made in Canada   1"" Laminated Top    Steel Legs",full-rewrite,Coffee table | Brant Business Interiors,39,The Coffee table available at Brant Business Interiors. Conference & training tables for Ontario institutions. OECM-eligible. Call 1-800-835-9565.,146,"<p><strong>The right table for every boardroom, training room, or collaborative space.</strong></p>
<p>The Coffee table is a table suited to professional environments including schools, healthcare facilities, and corporate offices across Ontario. Starting from $359.99.</p>
<p>Available from Brant Business Interiors — Ontario&#39;s OECM-eligible commercial furniture supplier since 1964. Delivery and installation across Ontario. Call <strong>1-800-835-9565</strong> for current pricing, lead times, or volume quotes.</p>",,
installation475,9746789433657,Installation475,Brant Business Interiors,uncategorized,475.0,A,keep,yes,38,Price includes Delivery & Installation,full-rewrite,Installation475 | Brant Business Interiors,42,Shop the Installation475 at Brant Business Interiors — commercial office furniture for Ontario institutions. OECM-eligible. Call 1-800-835-9565.,144,"<p><strong>Commercial-quality office furniture for Ontario institutions.</strong></p>
<p>The Installation475 is a uncategorized suited to professional environments including schools, healthcare facilities, and corporate offices across Ontario. Starting from $475.00.</p>
<p>Available from Brant Business Interiors — Ontario&#39;s OECM-eligible commercial furniture supplier since 1964. Delivery and installation across Ontario. Call <strong>1-800-835-9565</strong> for current pricing, lead times, or volume quotes.</p>",,
marche-guest-chair-8622,9729473741113,Marche guest chair — 8622,Brant Business Interiors,chairs,570.99,C,archive-duplicate,yes,23,Other fabrics available,full-rewrite,Marche guest chair — 8622 | Brant Business Interiors,52,"Shop the Marche guest chair — 8622 at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-eligible. Call 1...",155,"<p><strong>Built for all-day comfort in demanding Ontario workplaces.</strong></p>
<p>The Marche guest chair — 8622 is a chair suited to professional environments including schools, healthcare facilities, and corporate offices across Ontario. Starting from $570.99.</p>
<p>Available from Brant Business Interiors — Ontario&#39;s OECM-eligible commercial furniture supplier since 1964. Delivery and installation across Ontario. Call <strong>1-800-835-9565</strong> for current pricing, lead times, or volume quotes.</p>",,
marche-guest-chair-copy,9729471086905,Marche guest chair,Brant Business Interiors,chairs,670.64,C,archive-duplicate,yes,23,Other fabrics available,full-rewrite,Marche guest chair | Brant Business Interiors,45,"Shop the Marche guest chair at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-eligible. Call 1-800-83...",155,"<p><strong>Built for all-day comfort in demanding Ontario workplaces.</strong></p>
<p>The Marche guest chair is a chair suited to professional environments including schools, healthcare facilities, and corporate offices across Ontario. Starting from $670.64.</p>
<p>Available from Brant Business Interiors — Ontario&#39;s OECM-eligible commercial furniture supplier since 1964. Delivery and installation across Ontario. Call <strong>1-800-835-9565</strong> for current pricing, lead times, or volume quotes.</p>",,
delivery-charge-175-00,9778565120313,Delivery charge 175. — 00,Brant Business Interiors,uncategorized,175.0,C,archive-duplicate,yes,76,"Due to the location of your delivery address, the charge is $175.00 plus tax",full-rewrite,Delivery charge 175. — 00 | Brant Business Interiors,52,Shop the Delivery charge 175. — 00 at Brant Business Interiors — commercial office furniture for Ontario institutions. OECM-eligible. Call 1-800-835-9565.,154,"<p><strong>Commercial-quality office furniture for Ontario institutions.</strong></p>
<p>The Delivery charge 175. — 00 is a uncategorized suited to professional environments including schools, healthcare facilities, and corporate offices across Ontario. Starting from $175.00.</p>
<p>Available from Brant Business Interiors — Ontario&#39;s OECM-eligible commercial furniture supplier since 1964. Delivery and installation across Ontario. Call <strong>1-800-835-9565</strong> for current pricing, lead times, or volume quotes.</p>",,
delivery-charge-85-00,9746670092601,Delivery charge $85. — 00,Brant Business Interiors,uncategorized,85.0,C,archive-duplicate,yes,34,This price includes delivery only.,full-rewrite,Delivery charge $85. — 00 | Brant Business Interiors,52,Shop the Delivery charge $85. — 00 at Brant Business Interiors — commercial office furniture for Ontario institutions. OECM-eligible. Call 1-800-835-9565.,154,"<p><strong>Commercial-quality office furniture for Ontario institutions.</strong></p>
<p>The Delivery charge $85. — 00 is a uncategorized suited to professional environments including schools, healthcare facilities, and corporate offices across Ontario. Starting from $85.00.</p>
<p>Available from Brant Business Interiors — Ontario&#39;s OECM-eligible commercial furniture supplier since 1964. Delivery and installation across Ontario. Call <strong>1-800-835-9565</strong> for current pricing, lead times, or volume quotes.</p>",,
adapt-high-back-synchro-tilter-mvl11724,9769092022585,Adapt | high back synchro-tilter — MVL11724,Brant Business Interiors,chairs,399.99,A,keep,yes,250,"height and width adjustable arms with sliding arm caps   Black frame with a Black 5-prong, injection molded, fiberglass ",seo+expand,Adapt | high back synchro-tilter | Brant Business Interiors,59,"Shop the Adapt | high back synchro-tilter at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-eligible....",155,,,
armless-low-back-stacking-chair-mvl2748,9982115381561,Armless low back stacking chair — MVL2748,Brant Business Interiors,chairs,139.99,A,keep,yes,128,MVL2748   Minto | Armless Low Back Stacking Chair     Stacking chair   Fully upholstered seat and frame   Round tube ste,seo+expand,Armless low back stacking chair | Brant Business Interiors,58,"Shop the Armless low back stacking chair at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-eligible. ...",155,,,
basics-chevron-junior-operator-chair-mvl2363-7-1,9776146415929,Basics chevron junior operator chair — MVL2363-7,Brant Business Interiors,chairs,259.99,A,keep,yes,113,• Pneumatic seat height adjustment • Adjustable back angle • Back height adjustment • Hard floor casters • Fabric,seo+expand,Basics chevron junior operator ch | Brant Business Interiors,60,"Shop the Basics chevron junior operator chair at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-eligi...",155,,,
