handle,title,vendor,type,tags,published,status
1-1-2-drawer-high-lateral-cabinet-4,1 1/2 Drawer High Lateral Cabinet,Business Interiors,,,false,archived
2-drawer-legal-width-vertical-file,2 Drawer Legal Width Vertical File,Business Interiors,,"bestseller, industry:business, room:private-office, type:storage",true,active
2-seater-couch,2 Seater Couch,Business Interiors,,,false,archived
2600-series-4-drawer-vertical-file-legal-26-451,"2600 Series 4 Drawer Vertical File, Legal (26-451)",Office Central & Brant Business Interiors,,"bestseller, industry:business, room:private-office, type:storage",true,active
3-seater-sofa,3 Seater Sofa,Business Interiors,,,false,archived
4-drawer-legal-width-vertical-file,4 Drawer Legal Width Vertical File,Business Interiors,,"industry:business, room:private-office, type:storage",true,active
4-drawer-letter-width-vertical-file,4 Drawer Letter Width Vertical File,Business Interiors,,"bestseller, industry:business, room:private-office, type:storage",true,active
4-person-workstation,4 Person Workstation,Business Interiors,,"industry:business, room:open-plan, type:desks",true,active
6-drawer-end-tab-cabinet-s128-drawers,6 Drawer End Tab Cabinet S128 Drawers,Office Central & Brant Business Interiors,,"industry:business, room:private-office, type:storage",true,active
6-person-workstation-chairs-bridges,6 Person Workstation & Chairs Bridges,Business Interiors,,"industry:business, room:open-plan, type:chairs",true,active
adapt-high-back-synchro-tilter-mvl11724,Adapt | High Back Synchro-Tilter MVL11724,Business Interiors,,"bestseller, industry:business, type:chairs",true,active
adapt-high-back-synchro-tilter-mvl11724-mvl11725,Adapt | High Back Synchro-Tilter MVL11724 MVL11725,Business Interiors,,"industry:business, type:chairs",true,active
adapt-high-back-synchro-tilter-mvl11725,Adapt | High Back Synchro-Tilter MVL11725,Business Interiors,,"industry:business, type:chairs",true,active
additional-services-dismantle-re-assemble,Additional Services-Dismantle & Re-Assemble,Office Central & Brant Business Interiors,,bestseller,false,active
aeramax-air-purifier-true-hepa-plasmatrue-1,"AeraMax® Air Purifier - True HEPA, PlasmaTrue",Business Interiors,,"bestseller, industry:business, type:accessories",true,active
agile-double-sided-8-pod-height-adjustable-shared-desk,Agile Double Sided 8-Pod Height Adjustable Shared Desk,Business Interiors,,"industry:business, room:private-office, type:desks",true,active
aktivity-environ-table,Aktivity Environ table,Business Interiors,,"industry:daycare, room:boardroom, type:tables",true,active
aktivity-puddle,Aktivity Puddle,Business Interiors,,"industry:daycare, type:tables",true,active
aktivity-rectangle-height-adjustable-table,Aktivity Rectangle Height Adjustable Table,Business Interiors,,"industry:daycare, room:boardroom, type:tables",true,active
alphabetter-stand-up-desk,AlphaBetter Stand-Up Desk,Office Central & Brant Business Interiors,,"industry:business, room:private-office, type:desks",true,active
altona-high-back-leather-tilter,Altona | High Back Leather Tilter,Business Interiors,,"industry:business, type:chairs",true,active
amigo-mesh-chair-otg10900blk,Amigo Mesh Chair OTG10900BLK,Business Interiors,,"bestseller, industry:business, type:chairs",true,active
anda-seat-phantom-king-gaming-style-office-chair,Anda Seat Phantom King Gaming Style Office Chair,Business Interiors,,"industry:business, type:chairs",true,active
anti-fatigue-wellness-mat-36-x-24-5,"Anti-Fatigue Wellness Mat  36"" x 24""",Business Interiors,,"bestseller, industry:business, type:accessories",true,active
arlo-lounge-swivel-task-chair-1,Arlo | Lounge Swivel Task Chair,Business Interiors,,"industry:business, room:lounge, type:lounge",true,active
arm-caps-for-2330-chair,Arm Caps for 2330 chair,Office Central & Brant Business Interiors,,"industry:business, type:chairs",true,active
arm-chair,Arm Chair,Business Interiors,,,false,archived
armless-low-back-stacking-chair-mvl2748,Armless Low Back Stacking Chair MVL2748,Office Central & Brant Business Interiors,,"industry:business, type:chairs",true,active
array-stand-as-air-purifier-1,Array™ Stand AS Air Purifier,Business Interiors,,"industry:business, type:accessories",true,active
ashmont-medium-back-guest-chair-mvl2782,Ashmont | Medium Back Guest Chair MVL2782,Business Interiors,,"bestseller, industry:business, room:reception, type:chairs",true,active
ashmont-medium-back-management-tilter-mvl2781,Ashmont | Medium Back Management Tilter MVL2781,Business Interiors,,"industry:business, type:chairs",true,active
ashton-high-back-tilter,Ashton | High Back Tilter,Business Interiors,,"bestseller, industry:business, type:chairs",true,active
atlas-sit-to-stand-height-adjustable-desk,Atlas Sit to Stand Height Adjustable Desk,Business Interiors,,"industry:business, room:private-office, type:desks",true,active
auditorium-lecture-hall-seating,Auditorium / Lecture Hall Seating,Business Interiors,,"industry:educational, type:chairs",true,active
auditorium-lecture-hall-seating-my-space,Auditorium / Lecture Hall Seating My Space,Business Interiors,,"industry:educational, type:chairs",true,active
auditorium-lecture-hall-seating-omni,Auditorium / Lecture Hall Seating Omni,Business Interiors,,"industry:educational, type:chairs",true,active
auditorium-lecture-hall-seating-primo,Auditorium / Lecture Hall Seating Primo,Business Interiors,,"industry:educational, type:chairs",true,active
av-stand-sa-81-3016,AV Stand SA-81-3016,Business Interiors,,"industry:business, type:accessories",true,active
avro-350m-heavy-duty-multi-tilter-chairs-mvl11716,Avro 350M Heavy Duty Multi-Tilter Chairs MVL11716,Business Interiors,,"industry:business, type:chairs",true,active
banquet-chair-stacking,Banquet Chair Stacking,Business Interiors,,"industry:business, type:chairs",true,active
bar-height-table,Bar Height Table,Business Interiors,,"industry:business, room:boardroom, type:tables",true,active
bar-leaner-1-span-collaborative,Bar Leaner 1-Span Collaborative,Business Interiors,,"bestseller, industry:business, type:tables",true,active
bar-stool-for-42-high-tables,"Bar Stool for 42"" High Tables",Business Interiors,,"industry:business, type:chairs",true,active
basics-chevron-junior-operator-chair-mvl2363-7-1,Basics® Chevron Junior Operator Chair MVL2363-7,Business Interiors,,"industry:business, type:chairs",true,active
basics-comfort-time-drafting-stool-with-or-without-arms-1,Basics® Comfort-Time™ Drafting Stool (with or without arms),Business Interiors,,"industry:business, type:chairs",true,active
basics-comfort-time-ultra-multi-tilter-big-tall-chair,Basics® Comfort-Time™ Ultra Multi-Tilter Big & Tall Chair,Business Interiors,,"bestseller, industry:business, type:chairs",true,active
basics-comfort-time-ultra-multi-tilter-big-tall-with-headrest,Basics® Comfort-Time™ Ultra Multi-Tilter Big & Tall with Headrest,Business Interiors,,"industry:business, type:chairs",true,active
basics-comfort-time-ultra-multi-tilter-chair-with-headrest,Basics Comfort-Time Ultra Multi-Tilter Chair with Headrest,Business Interiors,,"industry:business, type:chairs",true,active
basics-comfort-time-ultra-multi-tilter-chairs-mvl1873-1,Basics® Comfort-Time™ Ultra Multi-Tilter Chairs MVL1873 MVL1875 (Available with a headrest),Business Interiors,,"bestseller, industry:business, type:chairs",true,active
basics-elora-chair-high-back-black-leather-luxhide-mvl1893upu30bl20,"Basics Elora Chair - High Back - Black - Leather, Luxhide MVL1893UPU30BL20",Business Interiors,,"industry:business, type:chairs",true,active
basics-elora-home-office-synchro-tilter-chair-1,Basics® Elora™ Home Office Synchro Tilter Chair,Business Interiors,,"industry:business, type:chairs",true,active
basics-ergo-boss-executie-back-multi-tilter-chairs-bao28703,Basics® Ergo Boss™ Executie Back Multi-Tilter Chairs BAO28703,Business Interiors,,"bestseller, industry:business, type:chairs",true,active
basics-obusforme-elite-heavy-duty-multi-tilter-chair-ts2770-3-1,Basics® ObusForme® Elite Heavy Duty Multi-Tilter Chair TS2770-3,Business Interiors,,"industry:business, type:chairs",true,active
basics-preto-swivel-tilt-chair-1,Basics® Preto Swivel Tilt Chair,Business Interiors,,"bestseller, industry:business, type:chairs",true,active
beta-armless-posture-task-drafting-stool-mvl2718,Beta | Armless Posture Task Drafting Stool MVL2718,Business Interiors,,"industry:business, type:chairs",true,active
boat-shaped-conference-table,Boat Shaped Conference Table,Business Interiors,,"bestseller, industry:business, room:boardroom, type:tables",true,active
boat-shaped-conference-table-96-x-36-x-29,"Boat Shaped Conference Table - 96"" x 36"" x 29""",Business Interiors,,"industry:business, room:boardroom, type:tables",true,active
bolt-mesh-back-tilter-otg11510b,Bolt | Mesh Back Tilter OTG11510B,Business Interiors,,"industry:business, type:chairs",true,active
