string_variant,canonical_brand,parent_brand,is_standalone_brand,storefront_callable,product_count,notes
Axis Bar Leaners,Axis,,True,False,1,Manufacturer attribution uncertain — specs.json confidence=low; country_of_manufacture=Australia; certifications include Australian-body GECA and AFRDI. Likely Axis Workspace Group (Australian). Verify against BBI purchase records before PE Pass 3 batches enrich more similar products.
Axis,Axis,,True,False,1,Manufacturer attribution uncertain — specs.json confidence=low; country_of_manufacture=Australia; certifications include Australian-body GECA and AFRDI. Likely Axis Workspace Group (Australian). Verify against BBI purchase records before PE Pass 3 batches enrich more similar products.
"Deflecto, LLC",Deflecto,,True,False,2,"US desktop organizer/plastic accessories brand. 2 enriched products, below threshold. 'Deflecto, LLC' scrubbed to canonical short form."
Deflecto,Deflecto,,True,False,2,"US desktop organizer/plastic accessories brand. 2 enriched products, below threshold. 'Deflecto, LLC' scrubbed to canonical short form."
Fellowes,Fellowes,,True,False,3,"Well-known office accessories brand. 3 enriched products, below threshold. 'Fellowes (likely)' variant scrubbed of enrichment-session residue."
Fellowes,Fellowes,,True,False,2,"Well-known office accessories brand. 3 enriched products, below threshold. 'Fellowes (likely)' variant scrubbed of enrichment-session residue."
Fellowes (likely),Fellowes,,True,False,1,"Well-known office accessories brand. 3 enriched products, below threshold. 'Fellowes (likely)' variant scrubbed of enrichment-session residue."
Foundations Worldwide (Gaggle line),Foundations Worldwide,,True,False,1,"Childcare/education furniture manufacturer. Gaggle is a product line within Foundations Worldwide, not the manufacturer name. Single daycare-category product."
Foundations Worldwide,Foundations Worldwide,,True,False,1,"Childcare/education furniture manufacturer. Gaggle is a product line within Foundations Worldwide, not the manufacturer name. Single daycare-category product."
Frost Products Ltd.,Frost Products Ltd.,,True,False,1,Canadian commercial site furniture and waste receptacle manufacturer. Single outdoor-category product. Below threshold.
Frost Products Ltd.,Frost Products Ltd.,,True,False,1,Canadian commercial site furniture and waste receptacle manufacturer. Single outdoor-category product. Below threshold.
Global Furniture Group,Global Furniture Group,,True,True,53,"Parent brand. Folds: Global Upholstery Co. (manufacturing entity), Global Fileworks (filing division), Newland (lounge sub-line), Global Basics (budget sub-line). All are internal corporate divisions, not consumer-facing brands."
Global Furniture Group,Global Furniture Group,,True,True,16,"Parent brand. Folds: Global Upholstery Co. (manufacturing entity), Global Fileworks (filing division), Newland (lounge sub-line), Global Basics (budget sub-line). All are internal corporate divisions, not consumer-facing brands."
"Global Upholstery Co., Inc (a division of Global Furniture Group)",Global Furniture Group,,True,True,10,"Parent brand. Folds: Global Upholstery Co. (manufacturing entity), Global Fileworks (filing division), Newland (lounge sub-line), Global Basics (budget sub-line). All are internal corporate divisions, not consumer-facing brands."
Global Furniture Group (Global Fileworks),Global Furniture Group,,True,True,4,"Parent brand. Folds: Global Upholstery Co. (manufacturing entity), Global Fileworks (filing division), Newland (lounge sub-line), Global Basics (budget sub-line). All are internal corporate divisions, not consumer-facing brands."
Global Furniture Group (Offices to Go / Newland),Global Furniture Group,,True,True,3,"Parent brand. Folds: Global Upholstery Co. (manufacturing entity), Global Fileworks (filing division), Newland (lounge sub-line), Global Basics (budget sub-line). All are internal corporate divisions, not consumer-facing brands."
Global Furniture Group / Basics,Global Furniture Group,,True,True,3,"Parent brand. Folds: Global Upholstery Co. (manufacturing entity), Global Fileworks (filing division), Newland (lounge sub-line), Global Basics (budget sub-line). All are internal corporate divisions, not consumer-facing brands."
Global Furniture Group / Offices To Go,Global Furniture Group,,True,True,3,"Parent brand. Folds: Global Upholstery Co. (manufacturing entity), Global Fileworks (filing division), Newland (lounge sub-line), Global Basics (budget sub-line). All are internal corporate divisions, not consumer-facing brands."
"Global Upholstery Co., Inc (Global Furniture Group)",Global Furniture Group,,True,True,3,"Parent brand. Folds: Global Upholstery Co. (manufacturing entity), Global Fileworks (filing division), Newland (lounge sub-line), Global Basics (budget sub-line). All are internal corporate divisions, not consumer-facing brands."
"Global Upholstery Co., Inc",Global Furniture Group,,True,True,2,"Parent brand. Folds: Global Upholstery Co. (manufacturing entity), Global Fileworks (filing division), Newland (lounge sub-line), Global Basics (budget sub-line). All are internal corporate divisions, not consumer-facing brands."
Global Furniture Group (Basics division),Global Furniture Group,,True,True,1,"Parent brand. Folds: Global Upholstery Co. (manufacturing entity), Global Fileworks (filing division), Newland (lounge sub-line), Global Basics (budget sub-line). All are internal corporate divisions, not consumer-facing brands."
"Global Furniture Group (Global Upholstery Co., Inc.)",Global Furniture Group,,True,True,1,"Parent brand. Folds: Global Upholstery Co. (manufacturing entity), Global Fileworks (filing division), Newland (lounge sub-line), Global Basics (budget sub-line). All are internal corporate divisions, not consumer-facing brands."
Global Furniture Group (Offices to Go),Global Furniture Group,,True,True,1,"Parent brand. Folds: Global Upholstery Co. (manufacturing entity), Global Fileworks (filing division), Newland (lounge sub-line), Global Basics (budget sub-line). All are internal corporate divisions, not consumer-facing brands."
Global Furniture Group / Basics (Canadian Workplace Solutions),Global Furniture Group,,True,True,1,"Parent brand. Folds: Global Upholstery Co. (manufacturing entity), Global Fileworks (filing division), Newland (lounge sub-line), Global Basics (budget sub-line). All are internal corporate divisions, not consumer-facing brands."
"Global Furniture Group / Basics (Global Upholstery Co., Inc.)",Global Furniture Group,,True,True,1,"Parent brand. Folds: Global Upholstery Co. (manufacturing entity), Global Fileworks (filing division), Newland (lounge sub-line), Global Basics (budget sub-line). All are internal corporate divisions, not consumer-facing brands."
Global Furniture Group / Offices to Go,Global Furniture Group,,True,True,1,"Parent brand. Folds: Global Upholstery Co. (manufacturing entity), Global Fileworks (filing division), Newland (lounge sub-line), Global Basics (budget sub-line). All are internal corporate divisions, not consumer-facing brands."
Global Upholstery Co. / Global Furniture Group (Offices To Go),Global Furniture Group,,True,True,1,"Parent brand. Folds: Global Upholstery Co. (manufacturing entity), Global Fileworks (filing division), Newland (lounge sub-line), Global Basics (budget sub-line). All are internal corporate divisions, not consumer-facing brands."
Innovations laminate desking line (likely Global / OTG private label),Global Furniture Group,,True,True,1,"Parent brand. Folds: Global Upholstery Co. (manufacturing entity), Global Fileworks (filing division), Newland (lounge sub-line), Global Basics (budget sub-line). All are internal corporate divisions, not consumer-facing brands."
Likely Global Furniture Group,Global Furniture Group,,True,True,1,"Parent brand. Folds: Global Upholstery Co. (manufacturing entity), Global Fileworks (filing division), Newland (lounge sub-line), Global Basics (budget sub-line). All are internal corporate divisions, not consumer-facing brands."
Heartwood Manufacturing Ltd.,Heartwood Manufacturing Ltd.,,True,True,17,Canadian manufacturer. Typo variant 'Heartwood Manufacturing Ltd' (missing trailing period) normalised to canonical form.
Heartwood Manufacturing Ltd.,Heartwood Manufacturing Ltd.,,True,True,13,Canadian manufacturer. Typo variant 'Heartwood Manufacturing Ltd' (missing trailing period) normalised to canonical form.
Heartwood Manufacturing Ltd,Heartwood Manufacturing Ltd.,,True,True,4,Canadian manufacturer. Typo variant 'Heartwood Manufacturing Ltd' (missing trailing period) normalised to canonical form.
Horizon,Horizon,Shoptech,True,False,5,"Shoptech is the corporate manufacturer entity; Horizon is the consumer-recognizable seating line name. 5 enriched products, below storefront callout threshold (≥10)."
Shoptech,Horizon,Shoptech,True,False,4,"Shoptech is the corporate manufacturer entity; Horizon is the consumer-recognizable seating line name. 5 enriched products, below storefront callout threshold (≥10)."
Shoptech / Horizon Seating,Horizon,Shoptech,True,False,1,"Shoptech is the corporate manufacturer entity; Horizon is the consumer-recognizable seating line name. 5 enriched products, below storefront callout threshold (≥10)."
Keilhauer,Keilhauer,,True,False,0,BBI has brand page (/pages/brands-keilhauer) and collection infrastructure (DEBT-01) but 0 enriched products. Added to canonical map so PE Pass 3 batches can tag any Keilhauer products correctly when surfaced. Re-evaluate callable after PE Pass 3 completes.
Lesro Industries,Lesro Industries,,True,False,1,Canadian manufacturer specialising in waiting-room and bariatric seating (Ontario). Single enriched product (willow-bariatric-chair). Below threshold.
Lesro Industries,Lesro Industries,,True,False,1,Canadian manufacturer specialising in waiting-room and bariatric seating (Ontario). Single enriched product (willow-bariatric-chair). Below threshold.
MergeWorks,MergeWorks,,True,False,1,Collaborative workspace accessories brand. Single accessories-category product (ceiling-grids-sound-acoustic-dampeners). Below threshold.
MergeWorks,MergeWorks,,True,False,1,Collaborative workspace accessories brand. Single accessories-category product (ceiling-grids-sound-acoustic-dampeners). Below threshold.
MityBilt Products Inc.,MityBilt Products Inc.,,True,False,1,"Manufacturer attributed to the Medicine Wheel Table (medicine-wheel-table-indigenous), listed as an exclusive product. Attribution confidence unknown — verify if this is a custom/exclusive design or a standard Mity-Lite catalog product."
MityBilt Products Inc.,MityBilt Products Inc.,,True,False,1,"Manufacturer attributed to the Medicine Wheel Table (medicine-wheel-table-indigenous), listed as an exclusive product. Attribution confidence unknown — verify if this is a custom/exclusive design or a standard Mity-Lite catalog product."
OTG / Offices to Go,OTG / Offices to Go,Global Furniture Group,True,True,54,Consumer-recognizable budget-tier brand in Canadian commercial furniture. 14 combo strings naming both Global Upholstery Co. and OTG mapped here — OTG is the standalone storefront brand in those pairings; Global Upholstery Co. folds into GFG parent.
OTG / Offices to Go (a division of Global Furniture Group),OTG / Offices to Go,Global Furniture Group,True,True,35,Consumer-recognizable budget-tier brand in Canadian commercial furniture. 14 combo strings naming both Global Upholstery Co. and OTG mapped here — OTG is the standalone storefront brand in those pairings; Global Upholstery Co. folds into GFG parent.
