keyword,volume,kd,cpc,competition,intent
herman miller chairs,12100,27,1.54,HIGH,transactional
global furniture group,2900,11,0.8,LOW,navigational
steelcase chairs,2900,1,2.84,HIGH,transactional
ergocentric chairs,1000,9,1.59,HIGH,transactional
humanscale chairs,720,0,3.34,HIGH,transactional
keilhauer chairs,170,0,2.99,HIGH,transactional
obusforme chair,170,0,4.03,HIGH,transactional
global office chairs,110,0,4.81,HIGH,navigational
teknion office chairs,110,0,2.92,HIGH,navigational
herman miller vs steelcase,90,0,0.61,HIGH,informational
steelcase vs herman miller,90,0,0.61,HIGH,informational
ergonomic chair vs gaming chair,70,0,1.9,HIGH,informational
herman miller vs haworth,70,0,2.2,HIGH,informational
hon office chairs,70,5,1.75,HIGH,transactional
allseating chairs,50,0,2.01,HIGH,transactional
are standing desks worth it,40,12,2.04,HIGH,informational
is herman miller worth it,40,26,,HIGH,informational
ergocentric chair review,30,17,1.24,HIGH,informational
secretlab vs herman miller,30,6,4.54,HIGH,informational
ergocentric review,20,18,,MEDIUM,informational
humanscale vs herman miller,20,43,7.31,MEDIUM,commercial
aeron vs leap,10,13,,LOW,commercial
are ergonomic chairs worth it,10,,0.71,HIGH,informational
ergocentric vs herman miller,10,,,LOW,informational
global furniture review,10,,,,informational
herman miller review,10,,7.33,HIGH,informational
hon chair review,10,42,,,informational
is steelcase worth it,10,,,LOW,informational
obusforme chair review,10,42,3.24,HIGH,informational
offices to go chairs,10,,0.6,HIGH,transactional
steelcase leap vs herman miller aeron,10,,,MEDIUM,commercial
steelcase vs haworth,10,,,HIGH,informational
task chair vs executive chair,10,,,HIGH,informational
