keyword,volume,kd,cpc,competition,intent,intent_secondary,seed
governors general canada,14800,32,0.01,LOW,informational,,executive chair
governor general of canada,14800,33,0.01,LOW,informational,,executive chair
american ambassador to canada,12100,27,,LOW,informational,,executive chair
us ambassador to canada,12100,15,,LOW,informational,,executive chair
united states ambassador to canada,12100,18,,LOW,informational,,executive chair
ambassador to canada,12100,13,,LOW,informational,navigational,executive chair
table top cafe,6600,3,0.19,LOW,navigational,transactional,conference table
canada revenue agency candidate profile,6600,11,,LOW,navigational,,executive chair
lift top coffee table,5400,0,0.98,HIGH,transactional,,conference table
best office chairs,4400,17,3.77,HIGH,commercial,transactional,best office chair
folding table canadian tire,4400,0,0.8,HIGH,transactional,,conference table
coffee tables canada,3600,0,1.26,HIGH,commercial,transactional,conference table
who is governor general of canada,3600,32,,LOW,informational,,executive chair
who is general governor of canada,3600,39,,LOW,informational,,executive chair
who is the governor of canada,3600,32,,LOW,informational,,executive chair
office chairs canada,2900,0,3.01,HIGH,navigational,"commercial,transactional",best office chair
minister of finance canada,2900,30,19.16,LOW,informational,,executive chair
speaker of the house of commons canada,2900,14,,LOW,informational,,executive chair
minister of finance of canada,2900,27,19.16,LOW,informational,,executive chair
mayor of vancouver canada,2900,23,,LOW,informational,,executive chair
standing desk canada,2400,0,5.66,HIGH,commercial,"navigational,transactional",best office chair
standing desks canada,2400,0,5.66,HIGH,commercial,"navigational,transactional",best office chair
head of the state of canada,2400,39,,LOW,informational,,executive chair
public safety minister canada,2400,30,,LOW,informational,,executive chair
laptop table,1900,0,0.44,HIGH,transactional,,conference table
best ergonomic office chair,1600,14,3.97,HIGH,commercial,transactional,best office chair
laptop stand for desk,1600,2,0.65,HIGH,transactional,,standing desk
auditor general canada,1600,27,,LOW,navigational,informational,executive chair
attorney general of canada,1600,26,,LOW,informational,,executive chair
canadian ambassador to the united states,1600,22,,LOW,informational,,executive chair
office chairs canadian tire,1300,0,0.67,HIGH,navigational,transactional,best office chair
roll top desk,1300,0,0.54,HIGH,transactional,,standing desk
secretary of state canada,1300,24,,LOW,informational,navigational,executive chair
canada secretary of state,1300,24,,LOW,informational,navigational,executive chair
governor of the bank of canada,1300,52,,LOW,informational,,executive chair
governor of bank of canada,1300,53,,LOW,informational,,executive chair
secretary of state for canada,1300,30,,LOW,informational,navigational,executive chair
bank of canada governors,1300,21,,LOW,informational,navigational,executive chair
canadian secretary of state,1300,31,,LOW,informational,,executive chair
bank of canada governor,1300,35,,LOW,informational,navigational,executive chair
secretary of state in canada,1300,24,,LOW,informational,navigational,executive chair
secretary of state of canada,1300,51,,LOW,navigational,informational,executive chair
sit stand desk canada,1000,0,5.5,HIGH,navigational,,best office chair
minister of public safety of canada,1000,15,,LOW,informational,,executive chair
best buy office chairs,880,3,0.99,HIGH,transactional,,best office chair
best office chairs canada,880,30,3.73,HIGH,commercial,,best office chair
computer desk canada,880,0,1.97,HIGH,navigational,,best office chair
best office,880,3,2.86,MEDIUM,navigational,"informational,commercial",best office chair
best standing desk,880,8,5.64,HIGH,commercial,transactional,standing desk
best buy standing desk,880,0,0.47,HIGH,transactional,,standing desk
mayor of canada,880,14,0.66,HIGH,informational,,executive chair
minister of public safety and emergency preparedness canada,880,15,,LOW,informational,,executive chair
parliamentary budget officer canada,880,13,,LOW,navigational,,executive chair
minister of public safety canada,880,24,,LOW,informational,,executive chair
lumbar support for office chair,720,0,0.94,HIGH,transactional,,best office chair
office desk canada,720,0,5.43,HIGH,navigational,commercial,best office chair
drop top desk,720,0,0.38,HIGH,transactional,,standing desk
paper size in canada,720,3,0.11,LOW,informational,,filing cabinet
chief of justice canada,720,0,,LOW,informational,,executive chair
ceo of canada post,720,12,,LOW,navigational,,executive chair
current governor general of canada,720,32,,LOW,informational,,executive chair
present governor general of canada,720,25,,LOW,informational,,executive chair
current governor general canada,720,39,,LOW,informational,,executive chair
chief justice canada,720,5,,LOW,informational,,executive chair
most comfortable office chair,590,19,1.77,HIGH,informational,commercial,best office chair
scentsy canada workstation,590,21,3.27,LOW,navigational,,best office chair
best budget office chair,590,24,1.82,HIGH,commercial,transactional,best office chair
best desk chairs,590,15,4.46,HIGH,commercial,transactional,ergonomic office chair
laptop desk for bed,590,0,0.45,HIGH,transactional,,standing desk
scrapbooking supplies canada,590,9,0.86,HIGH,commercial,,filing cabinet
governor of canada,590,24,,LOW,informational,,executive chair
lieutenant governor of canada,590,2,,LOW,informational,navigational,executive chair
lieutenant governor general of canada,590,36,,LOW,navigational,,executive chair
lieutenant governor general canada,590,3,,LOW,navigational,informational,executive chair
member of the house of commons of canada,590,59,,LOW,informational,,executive chair
the auditor general of canada,590,19,0.46,LOW,navigational,,executive chair
best home office chair,480,20,3.71,HIGH,commercial,,best office chair
ergonomic office chair canada,480,1,3.96,HIGH,navigational,,best office chair
murphy bed with desk canada,480,0,1.24,HIGH,navigational,transactional,best office chair
home office desk canada,480,0,2.53,HIGH,navigational,,best office chair
ontario return to office,480,5,,LOW,informational,navigational,office pod
canadian office supplies,480,21,2.64,MEDIUM,commercial,"transactional,navigational",filing cabinet
best computer chair,480,7,3.14,HIGH,commercial,transactional,heavy duty office chair
best office chair for back pain,390,28,2.35,HIGH,commercial,informational,office pod
stationery canada,390,0,1.08,HIGH,commercial,navigational,filing cabinet
canada colouring pages,390,0,0.06,LOW,informational,,filing cabinet
colouring pages canada,390,11,0.06,LOW,informational,,filing cabinet
custom wrapping paper canada,320,0,1.11,HIGH,commercial,"transactional,navigational",filing cabinet
custom stationery canada,320,0,1.82,HIGH,commercial,navigational,filing cabinet
packing paper canadian tire,260,0,0.9,HIGH,transactional,,filing cabinet
best small notebooks,210,10,0.64,HIGH,commercial,,filing cabinet
canadian paper bills,210,9,0.14,LOW,informational,,filing cabinet
contact paper canadian tire,170,14,0.41,HIGH,navigational,,filing cabinet
landing paper canada sample,170,3,6.64,LOW,informational,navigational,filing cabinet
