Redirect from,Redirect to
# PARKED — do not import until Phase 2 (P2-1) builds /collections/business-furniture.
# Shopify rejects redirects whose target does not yet resolve.
# Strip these comment lines before upload (Shopify Admin → Navigation → URL Redirects → Import).
/collections/educational,/collections/business-furniture
/collections/educational-furniture,/collections/business-furniture
/collections/healthcare,/collections/business-furniture
/collections/classroom-storage,/collections/business-furniture
/collections/desk-tables-sit-stand-classroom,/collections/business-furniture
/collections/student-chairs,/collections/business-furniture
/collections/student-desks,/collections/business-furniture
/collections/student-tables,/collections/business-furniture
/collections/student-tables-educational-furniture,/collections/business-furniture
/collections/cribs,/collections/business-furniture
/collections/infant-toddler,/collections/business-furniture
/collections/toddler-lockers,/collections/business-furniture
/collections/preschool-couches-chairs,/collections/business-furniture
/collections/exam-room-seating,/collections/business-furniture
/collections/clinician-screens,/collections/business-furniture
