classification,group,handle,title,current_sku,current_vendor,conflicting_evidence,candidate_manufacturer,steve_real_manufacturer
NON-BBI-CONFLICT,decodable-but-uncertain,auditorium-lecture-hall-seating,Auditorium / Lecture Hall Seating,BORGO,Borgo,SKU prefix=BORGO | specs.manufacturer=Global Furniture Group | tag=brand:borgo | specs.manufacturer->Global Furniture Group,Global Furniture Group,
NON-BBI-CONFLICT,decodable-but-uncertain,height-adjustable-base-pneumatic,Height adjustable base pneumatic (top sold separately),RIC- 500788530,Uline,SKU prefix=RIC | specs.manufacturer=Uline | tag=brand:uline | SKU prefix RIC->Richelieu (single-mfr),Richelieu,
NON-BBI-CONFLICT,decodable-but-uncertain,nesting-training-table-8-colour-choices,Nesting Training Table (8 Colour Choices),OSP-84224,Office Star Products,SKU prefix=OSP | specs.manufacturer=OTG / Offices to Go (Newland Training Tables) — likely | tag=brand:office-star-products | specs.manufacturer->OTG / Offices to Go,OTG / Offices to Go,
NON-BBI-CONFLICT,decodable-but-uncertain,pedestal-file-file-with-or-without-wheels,Pedestal - file/file (with or without wheels),GLBMVLM23FF,Heartwood Manufacturing,SKU prefix=GLBMVLM | specs.manufacturer=Heartwood Manufacturing Ltd. | tag=brand:heartwood-manufacturing | Global-family prefix GLBMVLM->Global Furniture Group (parent manufacturer),Global Furniture Group,
NON-BBI-CONFLICT,decodable-but-uncertain,willow-bariatric-chair,Willow bariatric chair,"GLB-W530AUU, 02NS, 39WFA",Lesro Industries,SKU prefix=GLB | specs.manufacturer=Lesro Industries | tag=brand:lesro-industries | Global-family prefix GLB->Global Furniture Group (parent manufacturer),Global Furniture Group,
AMBIGUOUS,decodable-but-uncertain,120-medicine-wheel-ottomans,"120"" Medicine Wheel Ottomans",MTB-JSMED.18,Office Central & Brant Business Interiors,SKU prefix=MTB | no resolving signal; prefix=MTB,,
AMBIGUOUS,decodable-but-uncertain,6-drawer-end-tab-cabinet-s128-drawers,6 drawer end tab cabinet S128 drawers — 6 drawer,TEK-LLF60L2036D1A 2102204,Brant Business Interiors,SKU prefix=TEK | no resolving signal; prefix=TEK,,
AMBIGUOUS,decodable-but-uncertain,bar-height-table,Bar height table,900-SQU20BARSIL-INVSQ24,Brant Business Interiors,no resolving signal; prefix=(none),,
AMBIGUOUS,decodable-but-uncertain,boardroom-table-rectangular-94-5x47-25,"Boardroom Table Rectangular 94.5""x47.25""",INNOVATION LAY75,Office Central & Brant Business Interiors,SKU prefix=INNOVATION | no resolving signal; prefix=INNOVATION,,
AMBIGUOUS,decodable-but-uncertain,boat-shaped-conference-table-96-x-36-x-29,"Boat shaped conference table — 96"" x 36"" x 29""",BURO-CTBO 9636+ HB9636,Brant Business Interiors,SKU prefix=BURO | no resolving signal; prefix=BURO,,
AMBIGUOUS,decodable-but-uncertain,bow-front-desk-72x42,"Bow front desk — 72""X42""",UN7242BWL/BBF,Brant Business Interiors,SKU prefix=UN | no resolving signal; prefix=UN,,
AMBIGUOUS,decodable-but-uncertain,ceiling-grids-sound-acoustic-dampeners-copy,Ceiling grids sound acoustic dampeners,BELAIR HCG473608-4DAG12,Brant Business Interiors,SKU prefix=BELAIR | tag=brand:brant-business-interiors | no resolving signal; prefix=BELAIR,,
AMBIGUOUS,decodable-but-uncertain,ceiling-grids-sound-acoustic-dampeners-orb,Ceiling grids sound acoustic dampeners orb,BELAIR HCG16-ORB12,Brant Business Interiors,SKU prefix=BELAIR | no resolving signal; prefix=BELAIR,,
AMBIGUOUS,decodable-but-uncertain,coffee-table-1,Coffee table,INVCOFREC2436,Brant Business Interiors,SKU prefix=INVCOFREC | tag=brand:brant-business-interiors | no resolving signal; prefix=INVCOFREC,,
AMBIGUOUS,decodable-but-uncertain,corner-maker-2-sizes,Corner maker — 2 sizes,ERG-CS25703,Brant Business Interiors,SKU prefix=ERG | no resolving signal; prefix=ERG,,
AMBIGUOUS,decodable-but-uncertain,credenza-with-sliding-doors-36-high,"Credenza with sliding doors 36"" high — 36""",UN6024SC/SC/SLD2/36H,Brant Business Interiors,SKU prefix=UN | no resolving signal; prefix=UN,,
AMBIGUOUS,decodable-but-uncertain,deep-hi-boy-storage-cabinet-72-h-x-36-w-x-24-d,"Deep hi-boy storage cabinet 72"" h x 36"" w x 24"" d — 24""",SCN-FJ883,Brant Business Interiors,SKU prefix=SCN | no resolving signal; prefix=SCN,,
AMBIGUOUS,decodable-but-uncertain,desk-double-pedestal,Desk double pedestal,NLP109,Brant Business Interiors,SKU prefix=NLP | no resolving signal; prefix=NLP,,
AMBIGUOUS,decodable-but-uncertain,desk-lamp-5-30-w-led-bulb-adjustable-metal-acrylic-desk-mountable,"Desk lamp - 5.30 w LED bulb - adjustable - metal, acrylic - desk mountable",BOSVLED500,Brant Business Interiors,SKU prefix=BOSVLED | no resolving signal; prefix=BOSVLED,,
AMBIGUOUS,decodable-but-uncertain,desk-u-shape-mlp205-1,Desk u-shape,NLP321,Brant Business Interiors,SKU prefix=NLP | no resolving signal; prefix=NLP,,
AMBIGUOUS,decodable-but-uncertain,dispose,Disposal program,OCI-DISPOSAL PROGRAM,Brant Business Interiors,SKU prefix=OCI | no resolving signal; prefix=OCI,,
AMBIGUOUS,decodable-but-uncertain,dual-coloured-bookcase-15-sizes-available,Dual coloured bookcase (15 sizes available) — 15 sizes,BCMB2429WHTSIDEPANEL,Brant Business Interiors,SKU prefix=BCMB | no resolving signal; prefix=BCMB,,
AMBIGUOUS,decodable-but-uncertain,dual-sided-height-adjustable-table,Dual sided height adjustable table,WS48 AGE2DSD126/#_F INV2448TOP,Brant Business Interiors,SKU prefix=WS | no resolving signal; prefix=WS,,
AMBIGUOUS,decodable-but-uncertain,felt-acoustic-room-dividers,Felt acoustic room dividers,HCA4747-BAM9-T,Brant Business Interiors,SKU prefix=HCA | no resolving signal; prefix=HCA,,
AMBIGUOUS,decodable-but-uncertain,felt-acoustic-wall-tiles,Felt acoustic wall tiles,BEL HWS1212-CIR9,Brant Business Interiors,SKU prefix=BEL | no resolving signal; prefix=BEL,,
AMBIGUOUS,decodable-but-uncertain,gas-lift-monitor-riser,Gas lift monitor riser,SPR-LLR99554,Brant Business Interiors,SKU prefix=SPR | no resolving signal; prefix=SPR,,
AMBIGUOUS,decodable-but-uncertain,hardfloor-casters,Hardfloor casters,MGE-1091503100000,Brant Business Interiors,SKU prefix=MGE | no resolving signal; prefix=MGE,,
AMBIGUOUS,decodable-but-uncertain,hardware-for-ceiling-tiles,Hardware for ceiling tiles,9  HAC-PANCLAMP-PF,Brant Business Interiors,no resolving signal; prefix=(none),,
AMBIGUOUS,decodable-but-uncertain,hideaway-storage-cabinet-1,Hideaway storage cabinet,JNT5946JC,Brant Business Interiors,SKU prefix=JNT | no resolving signal; prefix=JNT,,
AMBIGUOUS,decodable-but-uncertain,hutch-with-doors,Hutch with doors (assembled),UN36HUTDO/43,Brant Business Interiors,SKU prefix=UN | no resolving signal; prefix=UN,,
AMBIGUOUS,decodable-but-uncertain,indoor-planter,Indoor planter,WS48-PLANTER/B,Brant Business Interiors,SKU prefix=WS | no resolving signal; prefix=WS,,
AMBIGUOUS,decodable-but-uncertain,jumbo-storage-cabinet-assembled-72-h-x48w-x-24-d,"Jumbo storage cabinet assembled 72"" h x48""w x 24"" d — 24""",SCN-FL786,Brant Business Interiors,SKU prefix=SCN | no resolving signal; prefix=SCN,,
AMBIGUOUS,decodable-but-uncertain,l-shape-workstations,"L-shape workstations (9 sizes, 8 colours) — 9 sizes",INV3060DS-INVHPF-INV2430RSBR,Brant Business Interiors,SKU prefix=INV | no resolving signal; prefix=INV,,
AMBIGUOUS,decodable-but-uncertain,led-desk-lamp-with-usb-and-night-light,LED desk lamp with USB and night light,RSIRDL110U,Brant Business Interiors,SKU prefix=RSIRDL | no resolving signal; prefix=RSIRDL,,
AMBIGUOUS,decodable-but-uncertain,led-desk-lamp-with-wireless-charger-led,LED desk lamp with wireless charger - LED,RDL-140QI-B,Brant Business Interiors,SKU prefix=RDL | no resolving signal; prefix=RDL,,
AMBIGUOUS,decodable-but-uncertain,levels-suite,Levels suite,Levels Layout 1,Brant Business Interiors,SKU prefix=LEVELS | no resolving signal; prefix=LEVELS,,
AMBIGUOUS,decodable-but-uncertain,lockerettes-6-tier-bank-of-3-36-x-18-x-72-steel-grey-rivet-assembled,"Lockerettes, 6 -tier, bank of 3, 36"" x 18"" x 72"", steel, grey, rivet (assembled)",SCN-FJ173,Brant Business Interiors,SKU prefix=SCN | no resolving signal; prefix=SCN,,
AMBIGUOUS,decodable-but-uncertain,lockers-2-tier,Lockers 2-tier,SCN-FN478,Brant Business Interiors,SKU prefix=SCN | no resolving signal; prefix=SCN,,
AMBIGUOUS,decodable-but-uncertain,lockers-2-tier-assembled,Lockers 2 tier (assembled),SCN-FL396,Brant Business Interiors,SKU prefix=SCN | no resolving signal; prefix=SCN,,
AMBIGUOUS,decodable-but-uncertain,lockers-single-tier-assembled,Lockers single tier (assembled),SCN-FJ151,Brant Business Interiors,SKU prefix=SCN | no resolving signal; prefix=SCN,,
