Handle,Title,Image_Position,Filename,FAL_URL,Local_Path,Alt_Text,Prompt,Status
freefit-benching-height-adjustable-176w-x-62-5d-ffhab506-2,"FreeFit™ Benching Height Adjustable 176""W x 62.5""D (FFHAB506)",2,freefit-benching-height-adjustable-176w-x-62-5d-ffhab506-2-gen-2.jpg,,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/freefit-benching-height-adjustable-176w-x-62-5d-ffhab506-2-gen-2.jpg,"FreeFit™ Benching Height Adjustable 176""W x 62.5""D (FFHAB506) - Studio White","Professional product photography of FreeFit™ Benching Height Adjustable 176""W x 62.5""D (FFHAB506) on a clean white studio background, crisp even lighting, slight drop shadow, commercial catalogue style. No people, no text overlays.",SKIPPED_EXISTS
freefit-benching-height-adjustable-176w-x-62-5d-ffhab506-2,"FreeFit™ Benching Height Adjustable 176""W x 62.5""D (FFHAB506)",3,freefit-benching-height-adjustable-176w-x-62-5d-ffhab506-2-gen-3.jpg,,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/freefit-benching-height-adjustable-176w-x-62-5d-ffhab506-2-gen-3.jpg,"FreeFit™ Benching Height Adjustable 176""W x 62.5""D (FFHAB506) - Office Setting","FreeFit™ Benching Height Adjustable 176""W x 62.5""D (FFHAB506) in a bright modern Canadian open-plan office environment, warm natural window light, contemporary neutral decor. No people, no text overlays.",SKIPPED_EXISTS
freefit-benching-height-adjustable-176w-x-62-5d-ffhab506-2,"FreeFit™ Benching Height Adjustable 176""W x 62.5""D (FFHAB506)",4,freefit-benching-height-adjustable-176w-x-62-5d-ffhab506-2-gen-4.jpg,,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/freefit-benching-height-adjustable-176w-x-62-5d-ffhab506-2-gen-4.jpg,"FreeFit™ Benching Height Adjustable 176""W x 62.5""D (FFHAB506) - Detail Close-Up","Close-up detail shot of FreeFit™ Benching Height Adjustable 176""W x 62.5""D (FFHAB506), shallow depth of field, editorial style, studio lighting, emphasis on material texture and craftsmanship. No people, no text overlays.",SKIPPED_EXISTS
zira-conference-table-9-sizes,Zira Conference Table - 9 Sizes,2,zira-conference-table-9-sizes-gen-2.jpg,,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/zira-conference-table-9-sizes-gen-2.jpg,Zira Conference Table - 9 Sizes - Studio White,"Professional product photography of Zira Conference Table - 9 Sizes on a clean white studio background, crisp even lighting, slight drop shadow, commercial catalogue style. No people, no text overlays.",SKIPPED_EXISTS
zira-conference-table-9-sizes,Zira Conference Table - 9 Sizes,3,zira-conference-table-9-sizes-gen-3.jpg,,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/zira-conference-table-9-sizes-gen-3.jpg,Zira Conference Table - 9 Sizes - Office Setting,"Zira Conference Table - 9 Sizes in a bright modern Canadian open-plan office environment, warm natural window light, contemporary neutral decor. No people, no text overlays.",SKIPPED_EXISTS
zira-conference-table-9-sizes,Zira Conference Table - 9 Sizes,4,zira-conference-table-9-sizes-gen-4.jpg,,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/zira-conference-table-9-sizes-gen-4.jpg,Zira Conference Table - 9 Sizes - Detail Close-Up,"Close-up detail shot of Zira Conference Table - 9 Sizes, shallow depth of field, editorial style, studio lighting, emphasis on material texture and craftsmanship. No people, no text overlays.",SKIPPED_EXISTS
halifax-typical-9,Halifax Typical 9,2,halifax-typical-9-gen-2.jpg,,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/halifax-typical-9-gen-2.jpg,Halifax Typical 9 - Studio White,"Professional product photography of Halifax Typical 9 on a clean white studio background, crisp even lighting, slight drop shadow, commercial catalogue style. No people, no text overlays.",SKIPPED_EXISTS
halifax-typical-9,Halifax Typical 9,3,halifax-typical-9-gen-3.jpg,,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/halifax-typical-9-gen-3.jpg,Halifax Typical 9 - Office Setting,"Halifax Typical 9 in a bright modern Canadian open-plan office environment, warm natural window light, contemporary neutral decor. No people, no text overlays.",SKIPPED_EXISTS
halifax-typical-9,Halifax Typical 9,4,halifax-typical-9-gen-4.jpg,,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/halifax-typical-9-gen-4.jpg,Halifax Typical 9 - Detail Close-Up,"Close-up detail shot of Halifax Typical 9, shallow depth of field, editorial style, studio lighting, emphasis on material texture and craftsmanship. No people, no text overlays.",SKIPPED_EXISTS
u-shape-height-adjustable-desk-suite-zira,U-Shape Height Adjustable Desk Suite Zira,2,u-shape-height-adjustable-desk-suite-zira-gen-2.jpg,https://v3b.fal.media/files/b/0a97b282/oNP8gZ6aFdSAPGV_zP0kO.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/u-shape-height-adjustable-desk-suite-zira-gen-2.jpg,U-Shape Height Adjustable Desk Suite Zira - Studio White,"Professional product photography of U-Shape Height Adjustable Desk Suite Zira on a clean white studio background, crisp even lighting, slight drop shadow, commercial catalogue style. No people, no text overlays.",GENERATED
