Prefix,Count,Manufacturer,Website,Confidence,Notes
GLB,222,Global Furniture Group,https://www.globalfurnituregroup.com/,confirmed,"Canadian mfr. Widest range: chairs, desks, storage. Search by full SKU (e.g. GLB9330-2F1H)."
HDL,136,Heartwood Manufacturing (HDL),https://www.heartwooddl.com/,confirmed,"Canadian mfr. Laminate desks/tables. Also shows as HDL- prefix. HDL-EDU = education line."
GLO,129,Global Furniture Group,https://www.globalfurnituregroup.com/,confirmed,Same mfr as GLB — older SKU scheme. Try globalfurnituregroup.com first.
IOF,98,IOF Laminated Products,https://iof-products.com/,confirmed,Canadian mfr of laminate office casegoods. IOF-UN = their Union series.
HDLINV,60,Heartwood (Innovation line),https://www.heartwooddl.com/products/innovation,confirmed,Heartwood Innovation sub-line — L-shapes + workstations.
OSP,35,Office Star Products,https://www.officestar.net/,confirmed,US mfr of task chairs + seating.
BCMB,29,unknown,,research,Likely private-label Canadian. Search by full SKU on Google.
MTY,26,Mity-Lite,https://www.mitylite.com/,confirmed,US mfr of flip-top tables and folding furniture.
IOFRAPB,25,IOF Laminated Products,https://iof-products.com/,confirmed,IOF Rapid Boardroom series.
OFGO,23,Offices to Go,https://www.officestogo.com/,confirmed,OFGO = Offices to Go (subsidiary of Global).
WS,23,Workspace (unknown sub-brand),,research,Check globalfurnituregroup.com / heartwooddl.com — might be Workspace line.
UN,22,IOF Union series,https://iof-products.com/,likely,IOF's UN prefix — Union casegoods.
RIC,21,Ricoh (possibly),,research,RIC might be Ricoh office equipment — verify.
HCA,20,unknown,,research,"Pattern HCA4747-BAM9, suggests chair/bench. Search by SKU."
GLBNL,19,Offices to Go (via Global),https://www.officestogo.com/,confirmed,Global-branded OTG Newland series.
HZN,18,Horizon Seating,https://horizonseating.com/,likely,Canadian chair mfr. Verify.
SCN,17,unknown,,research,Search full SKU on Google.
GLBGULF,15,Global Gulfstream,https://www.globalfurnituregroup.com/,confirmed,Global's Gulfstream table series.
GLBMVL,14,Global (MVL line),https://www.globalfurnituregroup.com/,confirmed,Global's MVL (Multi-Value Line) chairs. Also seen as MVL alone.
FEL,14,Fellowes,https://www.fellowes.com/,confirmed,Office accessories + chairs.
INV,13,Heartwood Innovation,https://www.heartwooddl.com/products/innovation,confirmed,Short form of HDLINV.
GLI,13,Global (GLI line),https://www.globalfurnituregroup.com/,likely,"GLI prefix on Global chairs — verify, could also be GLIT."
SAF,12,Safco Products,https://www.safcoproducts.com/,confirmed,US mfr of office furniture + storage.
C,12,Custom/unknown,,research,Starts with just 'C' — likely a chair line. Search SKU.
GLBOTG,10,Offices to Go,https://www.officestogo.com/,confirmed,Global's OTG product SKUs.
BELAIR,9,Bel-Air,,research,Verify — possibly Global sub-brand or separate mfr.
MVL,8,Global (MVL line),https://www.globalfurnituregroup.com/,confirmed,Short form of GLBMVL / GLOMVL.
BEL,7,Bel-Air,,research,Likely same as BELAIR.
GLOMVL,6,Global (MVL line),https://www.globalfurnituregroup.com/,confirmed,Global MVL series older SKUs.
HDLINVR,6,Heartwood Innovation (return),https://www.heartwooddl.com/,confirmed,HDL Innovation returns/accessories.
BURO,6,Buro Seating,https://www.buroseating.com/,likely,"Buro is a NZ chair mfr; may also be reseller brand. Verify."
FOU,6,Foundations Worldwide,https://www.foundations.com/,likely,"Strollers, cribs (for childcare/medical). Verify."
DEF,6,Deflecto,https://deflecto.com/,confirmed,Desk accessories + displays.
GLBNLP,5,Offices to Go (Newland Pedestals),https://www.officestogo.com/,confirmed,OTG Newland pedestal series.
HAC,5,unknown,,research,Cable/hardware accessories — search by SKU.
BAOMVL,4,Global (BAO-MVL),https://www.globalfurnituregroup.com/,confirmed,"Global Basyx sub-line. BAO = Basyx branch of Global."
MYB,4,unknown,,research,Verify — could be a Global or Heartwood sub-brand.
HTWINV,4,Heartwood Innovation,https://www.heartwooddl.com/,confirmed,Heartwood Innovation — same as HDLINV.
CLIE,4,Heartwood Client series,https://www.heartwooddl.com/,likely,"CLIE prefix pairs with INV SKUs (e.g. CLIE1-INV2442TOP)."
GFT,4,Global Flip Top,https://www.globalfurnituregroup.com/,likely,Global GFT = Global Flip Top tables.
OTG,4,Offices to Go,https://www.officestogo.com/,confirmed,Straight OTG SKUs.
GDXGX,4,Global GX,https://www.globalfurnituregroup.com/,likely,Global GX panel-system. Verify.
HTWTLT,4,Heartwood Taylor,https://www.heartwooddl.com/,likely,HTW-TLT = Heartwood Taylor tables.
EDU,3,HDL Education,https://www.heartwooddl.com/,confirmed,Shortened HDL-EDU.
HSC,3,unknown,,research,Search by SKU.
GLBAT,3,Global (AT line),https://www.globalfurnituregroup.com/,likely,Global Adjustable Table series.
TAY,3,Tayco,https://tayco.com/,confirmed,Canadian mfr — systems furniture + casegoods.
TAYCO,3,Tayco,https://tayco.com/,confirmed,Same as TAY.
IOFUN,3,IOF Union,https://iof-products.com/,confirmed,Same as UN.
GDX,3,Global GDX,https://www.globalfurnituregroup.com/,likely,Global branch — verify.
GDXGL,3,Global GDX (GL),https://www.globalfurnituregroup.com/,likely,Global GDX-GL. Verify.
GAR,3,unknown,,research,SKUs look like Global GX. Check.
SOFT,3,unknown,,research,"Soft Pods — possibly acoustic pod mfr."
NL,3,Offices to Go (Newland),https://www.officestogo.com/,confirmed,OTG Newland straight SKUs.
HTWCAL,3,Heartwood California,https://www.heartwooddl.com/,likely,HTW-CAL = California series. Verify.
NLP,3,Offices to Go (Newland Panels),https://www.officestogo.com/,likely,Newland panel systems.
GLBML,3,Global (ML line),https://www.globalfurnituregroup.com/,likely,Global ML training tables. Verify.
GLBDTS,3,Global (Desk Top Screens),https://www.globalfurnituregroup.com/,likely,Global desktop privacy screens.
HTWINVLAYOUT,3,Heartwood Innovation (layouts),https://www.heartwooddl.com/,confirmed,Layout packages — not individual SKUs.
ERG,2,Ergotron,https://www.ergotron.com/,confirmed,US mfr of monitor arms + sit-stand.
INVCOFREC,2,Heartwood Innovation (coffee/reception),https://www.heartwooddl.com/,likely,Innovation reception furniture.
GLC,2,unknown,,research,Possibly Global Contract. Verify.
KMW,2,Kensington,https://www.kensington.com/,confirmed,Computer/monitor accessories.
IOFW,2,IOF Work,https://iof-products.com/,likely,IOF Work series.
GLONL,2,Offices to Go (Newland),https://www.officestogo.com/,confirmed,Global-era Newland SKUs.
FIRCF,2,unknown,,research,Search full SKU.
GDXGF,2,Global GDX Flip,https://www.globalfurnituregroup.com/,likely,Verify.
GLBMVLM/GLBMVLW,2,Global (MVL Mobile/Wood),https://www.globalfurnituregroup.com/,likely,MVL pedestal sub-variants.
SP,2,unknown,,research,Search by SKU.
RDL,2,unknown,,research,Search by SKU.
BORGO,2,Borgo,https://www.borgo.it/,confirmed,Italian mfr of designer lounge/guest seating.
ERGOACCESS,2,Ergonomic Accessories,,research,Likely generic ergonomic accessories line.
RCL,2,unknown,,research,Possibly Recliner line.
