id,title,primary_kw,cluster_vol_est,serp_tier,s_volume,s_intent,s_winnability,s_northstar,s_conversion,s_aeo,route,WEIGHTED
C2,"Best Office Pods, Phone Booths & Acoustic Booths for Canadian Offices",office pods canada (140/KD0),1270,WIN,4,4,5,5,5,3,acoustic-pods (200),4.55
C3,Best Canadian-Made Office Chairs & Furniture (Buy-Canadian Guide),canadian made office chairs (140/KD0),460,WIN,3,4,5,5,5,4,buy-canadian (200),4.5
C5,Commercial vs Consumer-Grade Office Furniture: A Business Buyer's Guide,commercial office furniture (90/KD0),300,WIN,3,4,5,5,5,4,seating/desks + quote,4.5
C7,Best Reception & Waiting-Room Furniture for Canadian Offices,reception desk (2900/nav),3100,WIN,5,3,4,5,5,3,reception-desks-desks (200),4.35
C1,Best Standing & Sit-Stand Desks for Canadian Offices,best standing desk canada (480/KD3),3900,WIN,5,4,5,4,4,3,height-adjustable-tables (200),4.3
C6,Best Conference & Boardroom Tables for Canadian Meeting Rooms,boardroom tables (880/KD?),1700,WIN,4,4,4,5,5,3,boardroom + meeting-tables (200),4.3
C11,Affordable Office Furniture for Small Business & Startups (Canada),best budget office chair (590/KD24),1900,MID,4,5,3,5,5,4,budget collections + quote,4.25
C12,Cubicle vs Open-Plan vs Hybrid: An Office-Layout Comparison,cubicle vs open office (20/KD?),120,WIN,2,4,5,5,4,5,design-services + workstations,4.25
C4,"Best Heavy-Duty, Big-and-Tall & 24/7 Office Chairs",heavy duty office chair (170/KD0),340,WIN,3,4,5,5,4,3,seating (200),4.2
C10,Where to Buy Office Furniture in Toronto & Ontario (Supplier Comparison),best office furniture toronto (20/geo),600,WIN,3,4,4,5,5,3,quote + geo pages (LP),4.15
C8,Best Office Chairs for Long Hours: A Canadian Business Buyer's Guide,best office chairs for long hours (260/KD8),2300,MID,5,5,3,4,4,5,seating (200),4.1
C13,Best Modular Office Furniture & Benching for Growing Teams,best modular office furniture (?/?),250,WIN,2,4,4,5,5,3,desks (benching 301->desks),4.0
C9,Best Ergonomic Office Chairs in Canada (Commercial Buyer's Guide),best ergonomic office chair canada (320/KD6),1600,MID,4,5,3,4,4,5,seating (200),3.95
C14,Best Executive Office Chairs & Desks for Leadership Offices,best executive office chair (70/KD11),400,MID,3,4,3,4,5,3,executive-desks + seating (200),3.7
C16,Premium Office Chair Showdown: Herman Miller vs Steelcase vs Canadian-Made,herman miller vs steelcase (90/KD0),350,MID,3,5,3,3,4,5,seating (BBI carries all 3),3.6
C15,Most Comfortable Office Chairs / Best for Back Pain (Business),most comfortable office chair (590/KD19),1700,HARD,4,5,2,3,4,5,seating (200),3.5
C17,Best Office Filing Cabinets & Storage for Business,best filing cabinet (30/KD0),200,MID,2,3,3,3,4,4,storage (200),3.15
