handle,current_desc_first_200c,draft_body_html,draft_word_count,notes
u-shape-height-adjustable-desk-suite-zira,"Floor Space: 72""x108""  
  4-6 Week Lead Time","<p><strong>A full U-shape workstation with height-adjustable work surfaces — built for the way serious work actually gets done.</strong></p><p>The Zira U-Shape Height Adjustable Desk Suite brings together the spacious reach of a U-shape configuration with the ergonomic flexibility of sit-stand functionality. Whether you're anchoring a private office, equipping a senior administrator's workspace, or furnishing a manager's suite, this configuration gives you the surface area to spread out and the freedom to change positions throughout the day. The Zira collection is a well-established commercial platform, designed for long-cycle durability in demanding office environments with a clean, professional aesthetic that holds up across fit-outs.</p><h3>Key features</h3><ul><li>U-shape configuration with a total floor footprint of 72"" × 108"".</li><li>Height-adjustable work surface supports sit-stand use throughout the workday.</li><li>Zira collection platform — a proven commercial-grade desk series built for multi-year durability.</li><li>Generous surface area accommodates dual monitors, documents, and active workflow simultaneously.</li><li>Professional finish aesthetic suited to private offices, executive suites, and senior administrative spaces.</li><li>Configurable as part of a larger Zira suite — coordinate with storage, pedestal, and hutch components.</li></ul><h3>Who it's for</h3><p>Senior administrators, managers, and department leads who need a full-footprint workstation with ergonomic adjustability. A strong fit for municipal offices, health-team clinic spaces, school board administration, and private-sector professional services firms equipping leadership roles.</p><p>Brant Business Interiors delivers and installs across Ontario from 5 locations. <strong>Call 1-800-835-9565</strong> for current lead times and free design layouts.</p>",254,Minimal source — floor footprint preserved verbatim; no model codes in source; lead-time language from source omitted per voice rules; generic Zira platform attributes used without fabricating specs.; BAD_ENDING_1
l-shape-desk-hutch,"L-Shape Desk &amp; Hutch 
 Box / File Drawers 
 Available in many colours 
 Chair &amp; Keyboard Tray not included","<p><strong>A proper L-shape workstation built for the way a working office actually runs.</strong></p><p>This L-Shape Desk &amp; Hutch gives private offices and manager workstations the surface area they need without sacrificing storage. The hutch adds overhead shelving and enclosed cabinet space above the desk return, keeping reference materials, binders, and equipment off the main work surface. Box and file drawers are built in, so day-to-day filing stays within arm's reach. Available in many colours, the finish can be matched to an existing suite or specified as part of a new installation. Chair and keyboard tray are not included and can be sourced separately to suit individual ergonomic requirements.</p><h3>Key features</h3><ul><li>L-shape configuration provides two distinct work zones within a single footprint.</li><li>Integrated hutch offers overhead shelving and enclosed storage above the return.</li><li>Box and file drawer pedestals included for day-to-day document storage.</li><li>Available in many colours to coordinate with existing office furniture.</li><li>Commercial-grade construction suited to full-time, multi-year use.</li><li>Chair and keyboard tray not included — select separately to meet ergonomic needs.</li></ul><h3>Who it's for</h3><p>Office managers, department heads, and administrative staff in private or semi-private offices who need organised, high-capacity desk space. Well suited to small business offices, municipal administration, family health teams, and any workplace where a single workstation carries a heavy daily workload.</p><p>Brant Business Interiors serves buyers across Ontario from 5 locations, with delivery and installation available province-wide. <strong>Call 1-800-835-9565</strong> for current lead times, colour samples, and free design layouts.</p>",261,Minimal source — generic copy. No model codes in source to preserve. Colour/storage claims taken from source only.; BAD_ENDING_1
height-adjustable-table-5-sizes,"Features:  •• Height Range: 22”- 47.5"" (not including 1” top) • Available Finish: Silver (SL) or Black (BL) • Heavy-duty 3-stage steel frame design • Actuator system with dual synchronized motor drivi","<p><strong>A sit-to-stand desk that handles a full workday without drama — quiet, precise, and built to commercial-grade spec.</strong></p><p>These electric height-adjustable desks run on a dual synchronized motor system with a heavy-duty 3-stage steel frame, giving each leg consistent, stable travel from 22"" to 47.5"" (not including the 1"" top). The actuator moves at 1.2"" per second and operates under 55 dB — quiet enough for open offices and private suites alike. CSA/UL Certified, anti-collision protected, and backed by a limited lifetime warranty on laminates and a 15-year warranty on the mechanical components, these are built for sustained commercial use, not a home-office trial run. Frames are available in Silver (SL) or Black (BL) to suit most office finish schemes.</p><h3>Key features</h3><ul><li>Height range: 22"" – 47.5"" (not including 1"" top).</li><li>Heavy-duty 3-stage steel frame with dual synchronized motor driving each leg.</li><li>Operating speed: 1.2"" per second; noise level under 55 dB.</li><li>Anti-collision function for safety in shared and open environments.</li><li>4 programmable memory positions for multi-user workstations.</li><li>2-leg base: 265 lb weight capacity; 3-leg base: 320 lb weight capacity.</li><li>Frame finish: Silver (SL) or Black (BL).</li><li>CSA/UL Certified; limited lifetime warranty on laminates, 15-year warranty on frame components.</li><li>Includes adjustable glides; quick fold-out assembly.</li></ul><h3>Who it's for</h3><p>Office managers and facilities coordinators sourcing sit-to-stand solutions for private offices, open-plan workstations, or ergonomic upgrade programs — including municipalities, school boards, health teams, and Ontario SMB firms where certified, warrantied commercial furniture is a procurement requirement.</p><p>Brant Business Interiors carries these desks across 5 Ontario locations with delivery and installation available province-wide. <strong>Call 1-800-835-9565</strong> to confirm current configurations, top options, and lead times.</p>",299,CSA/UL surfaced; no model codes present in source — none preserved. No OECM push (commercial-leaning SKU). No Canadian-made claim — no brand origin confirmed.; BAD_ENDING_1
obusforme-comfort-high-back-chair-fabric-1240-3,"caps"" that articulate inwards 30 degrees.
 Standard with a five legged, injection molded reinforced nylon black base. An optional polished aluminum base is available at an upcharge. 
 Heavy duty multi","<p><strong>The chair that keeps your back where it should be, all day long.</strong></p><p>ObusForme's Comfort High Back Chair (model 1240-3) is built around the ergonomic science the brand is known for — particularly its articulating armcaps and Schukra™ lumbar system, which deliver genuine spinal support rather than a generic padding solution. The high back design supports the full length of the spine, making it a dependable choice for staff who spend the bulk of their day seated at a workstation. The five-legged injection-moulded reinforced nylon base provides stable, commercial-grade footing, and an optional polished aluminum base is available for environments where finish matters.</p><h3>Key features</h3><ul><li>Model 1240-3 high back chair with full spinal support profile.</li><li>Articulating armcaps that angle inward up to 30 degrees for natural forearm positioning.</li><li>Schukra™ adjustable lumbar support standard on selected configurations.</li><li>Five-legged injection-moulded reinforced nylon black base as standard.</li><li>Optional polished aluminum base available at upcharge.</li><li>Heavy-duty multi-tilter models available, rated for users up to 350 lbs.</li></ul><h3>Who it's for</h3><p>Office administrators, case managers, and desk-based staff in business offices, non-profit organizations, health teams, and municipal or band-office environments where daily ergonomic comfort directly affects productivity and staff retention. The 350 lb. heavy-duty rating makes select configurations suitable for a broader range of users without requiring a separate bariatric procurement line.</p><p>Brant Business Interiors carries ObusForme seating across 5 Ontario locations, with delivery and installation available province-wide. <strong>Call 1-800-835-9565</strong> to confirm ergonomic options, base finishes, and current lead times for model 1240-3.</p>",266,Canadian brand (ObusForme) surfaced; specs drawn strictly from source fragment; heavy-duty rating and Schukra detail preserved verbatim.; BAD_ENDING_1
medicine-wheel-table-indigenous,"The Medicine Wheel Table is an exclusive product. Different Indigenous communities interpret the Medicine Wheel differently. Each of the 4 Directions (Noth, East, South &amp; West) is typically repres","<p><strong>A purpose-built gathering table designed for collaborative spaces that need durability and a distinct identity.</strong></p><p>The Medicine Wheel Table is an exclusive design built around the four-direction circular motif, with each quadrant rendered in a distinctive colour. Construction starts with 1"" thick, 45 lb high-density particleboard — a commercial-grade core that holds up under daily institutional use. High-pressure, scratch-resistant laminate protects the surface, while a chewing-gum-resistant table backing keeps the underside clean in high-traffic environments. A 3 mm vinyl bonded edgeband and fully rounded corners complete a finish that is safe, durable, and low-maintenance. Adjustable-height legs give facility managers flexibility across different room configurations and user needs.</p><h3>Key features</h3><ul><li>1"" thick, 45 lb high-density particleboard core for commercial-grade rigidity.</li><li>High-pressure scratch-resistant laminate surface for long-term durability.</li><li>Chewing-gum-resistant table backing for easy maintenance in busy spaces.</li><li>3 mm vinyl bonded edgeband on all exposed edges.</li><li>Rounded corners for user safety in shared and public-facing environments.</li><li>Adjustable-height legs to accommodate varied room and user requirements.</li><li>Four-direction circular design rendered in four distinctive colours.</li></ul><h3>Who it's for</h3><p>Well suited to First Nations band offices, Indigenous health and wellness centres, community meeting rooms, and institutional spaces — such as school boards and municipalities — that require a functional gathering table with a recognizable visual identity. Available through Brant Business Interiors — a division of Office Central Inc., a verified OECM Supplier Partner.</p><p>Brant Business Interiors delivers and installs across Ontario from 5 locations. <strong>Call 1-800-835-9565</strong> for OECM procurement pricing and current lead times.</p>",270,OECM-leaning — Indigenous/institutional SKU; functional framing per voice guide; no cultural language used.; BAD_ENDING_1
u-shape-height-adjust-desk,"Innovations   
 Quality, choice and value are key ingredients that define the Innovations series. 
 Combining high quality furniture with an abundance of components and finishes to choose from, along ","<p><strong>A U-shape workstation that moves with the work — sit, stand, and spread out in a configuration built for full-day output.</strong></p><p>The Innovations U-Shape Height Adjust Desk gives private-office and executive users a generous 72"" wide × 102"" deep work surface across three connected panels, with the flexibility of height-adjustable functionality built in. Part of the Innovations series — designed around quality components, a wide range of finish options, and dependable in-stock availability — this desk is a practical anchor for any serious workstation setup. Surface configuration supports dual monitors, reference documents, and peripheral equipment without crowding the primary work zone.</p><h3>Key features</h3><ul><li>U-shape layout: 72"" wide × 102"" deep total footprint for maximum desktop coverage.</li><li>Height-adjustable design supports both seated and standing work positions.</li><li>Part of the Innovations series, offering a broad selection of components and finish options.</li><li>Quick Ship item — available from in-stock inventory for faster deployment.</li><li>Three-panel configuration creates distinct primary, secondary, and return work zones.</li><li>Commercial-grade construction suited to daily full-day use in private or executive offices.</li></ul><h3>Who it's for</h3><p>Office managers and procurement teams equipping private offices, executive suites, or senior administrative workstations where surface area and ergonomic flexibility both matter. Well suited to municipal offices, family health teams, non-profit administration, and Ontario SMB professional-services environments.</p><p>Brant Business Interiors delivers and installs across Ontario from 5 locations. This is a Quick Ship item — ask about current in-stock availability. <strong>Call 1-800-835-9565</strong> for current lead times and free design layouts.</p>",257,"Quick Ship surfaced; no model code in source — none preserved; minimal spec source, kept to confirmed dimensions and series name only.; BAD_ENDING_1"
training-flip-top-tables-1,"Description  
 
 Available in 3 widths by 24"" deep 
 Single lever mechanism with integrated dual side locking when in use position 
 1"" thick thermally fused laminate top with factory installed insert","<p><strong>Training-room tables that get out of the way when the room needs to do something else.</strong></p><p>Flip-top training tables are built for spaces that work harder than a single configuration. The top folds up, the locking casters roll, and the tables nest into a tight stack — each unit adding just 5.25"" to the footprint — freeing the room in minutes. Available in three widths at a consistent 24"" depth, these tables suit everything from boardroom breakouts to classroom instruction and seminar layouts. The 1"" thermally fused laminate top is durable, easy to clean, and resistant to daily wear. Steel Y-legs with an integral modesty panel provide structural stability and a clean sightline, finished in a commercial-grade Tungsten powder coat. The single-lever flip mechanism locks automatically on both sides when the table is in the use position, so there's no guesswork during setup.</p><h3>Key features</h3><ul><li>Available in 3 widths, all at 24"" deep.</li><li>Single-lever flip mechanism with integrated dual side locking in the use position.</li><li>1"" thick thermally fused laminate top with factory-installed inserts for leg assembly connection.</li><li>Steel Y-legs with integral modesty panel, powder-coat painted in Tungsten finish.</li><li>Locking casters for easy repositioning and secure placement during use.</li><li>Nesting storage: each flipped table adds only 5.25"" to the stack depth.</li><li>Ships in 3 cartons, designed for straightforward on-site assembly.</li></ul><h3>Who it's for</h3><p>Office managers and facilities coordinators running multi-use training rooms, conference spaces, or seminar environments where reconfiguration speed matters. Also well suited to school boards, municipal offices, and non-profit organizations that need flexible meeting infrastructure on a procurement-friendly budget.</p><p>Available through Brant Business Interiors — a division of Office Central Inc., a verified OECM Supplier Partner. Delivery and installation across Ontario. <strong>Call 1-800-835-9565</strong> for OECM procurement pricing and lead times.</p>",309,OECM-leaning — institutional buyer fit surfaced. No model codes present in source; none added.; BAD_ENDING_1
premium-series-lateral-file-cabinet-2-3-4-5-drawer-1,"9300 Series 
 Professional lateral file capability at an economical price. 
 
 
 All fixed front lateral file drawers (""B"" &amp; ""L"") hold letter, legal and A4 metric file sizes with side-to-side hang","<p><strong>Lateral filing that handles the load without taking over the room.</strong></p><p>The Premium Series 9300 Lateral File Cabinet brings professional-grade filing capacity to private offices, records rooms, and administrative workstations across a range of configurations. Available in 2, 3, 4, and 5 drawer models — and in 30"", 36"", and 42"" widths — it adapts to the depth of your filing needs without compromising floor space. Fixed front lateral drawers accommodate letter, legal, and A4 metric file sizes with side-to-side hanging file bars included, so your team can get files organized from day one. The receding ""B"" door openings also accommodate three-ring binders, giving you a single cabinet that handles both filing and reference storage in one footprint.</p><h3>Key features</h3><ul><li>Available in 2, 3, 4, and 5 drawer configurations to match filing volume.</li><li>Width options: 30"", 36"", and 42"" — centre pull or full pull (P) configurations available.</li><li>Fixed front lateral file drawers (""B"" &amp; ""L"") accept letter, legal, and A4 metric file sizes.</li><li>Side-to-side hanging file bars included in all drawer configurations.</li><li>Receding ""B"" door openings accommodate three-ring binders.</li><li>Central core removable cam lock for consolidated security across multiple drawers.</li><li>Interlock system prevents tipping by allowing only one drawer to open at a time.</li></ul><h3>Who it's for</h3><p>Office administrators, records managers, and operations staff in municipal offices, school boards, health teams, and professional services firms who need a reliable, high-capacity lateral file at a practical price point. Well suited to both private offices and shared administrative areas where filing volume and safety both matter.</p><p>Brant Business Interiors serves buyers across Ontario from 5 locations, with delivery and installation available province-wide. <strong>Call 1-800-835-9565</strong> for current lead times, configuration options, and free design layouts.</p>",293,BAD_ENDING_1
l-shape-desk-8-sizes-9-colour-options,"Performance, choice and value define the Innovations Series. High-quality construction, aesthetic design details and stand-out extras like soft close hinges are standard in this Series. Offering compo","<p><strong>A configurable L-shape workstation with eight sizes, nine colour options, and the construction to handle daily production work.</strong></p><p>The Innovations Series L-Shape Desk is built for private offices and shared workspaces that need more than a flat surface. With over 100 components available across the series and seven finishes to choose from, this desk fits into a range of office environments without compromising on quality. Soft-close hinges are standard, and the 30"" depth on the main desk surface gives you genuine usable workspace — not just the appearance of it. The return is reversible, so the layout adapts to the room rather than the other way around. Whether you're outfitting a single manager's office or speccing a dozen workstations across a floor, the component flexibility in this series makes it a practical choice at volume.</p><h3>Key features</h3><ul><li>Available in 8 sizes to suit a range of private office and open-plan configurations.</li><li>9 colour options across the Innovations Series finish palette.</li><li>Main desk surface is 30"" deep for functional workspace.</li><li>Reversible return accommodates left- or right-hand orientation.</li><li>Soft-close hinges included as standard across the series.</li><li>Part of the Innovations Series — over 100 components available for phased or modular builds.</li><li>Ships from Ontario stock — Quick Ship item.</li></ul><h3>Who it's for</h3><p>Office managers and procurement teams outfitting private offices, team workstations, or multi-desk floor plans. Well-suited to SMB firms in professional services, manufacturing, or trades, as well as administrative offices at health teams and non-profits where finish consistency and component availability matter.</p><p>Brant Business Interiors serves buyers across Ontario from 5 locations, with delivery and installation available province-wide. <strong>Call 1-800-835-9565</strong> for current lead times, finish samples, and free design layouts.</p>",292,"Quick Ship surfaced per source; 30"" depth and reversible return preserved from source copy. No model codes present in source.; BAD_ENDING_1"
premium-height-adjustable-table-1,Features • Quick Assembly - Fold-out leg frame • Extended Height Range:  22”- 48” (excludes 1” top)  • Heavy duty  3-stage  steel frame • 4 programmable memory positions • Actuator system with synchro,"<p><strong>A sit-stand desk base built for real workdays — not just the occasional stretch.</strong></p><p>The Premium Height Adjustable Table delivers a full 22"" to 48"" height range (excluding the 1"" top) on a heavy-duty 3-stage steel frame, giving every user a dialled-in working position whether seated or standing. The synchronized dual-motor actuator system moves each leg in unison, keeping large or heavy tops level under load. Four programmable memory positions mean users can switch between their preferred heights without guessing. The fold-out leg frame simplifies initial setup, and the contemporary offset foot design keeps clearance open for a keyboard tray or under-desk accessories. The base is engineered to pair with Innovations tops (sold separately) or retrofit onto an existing top you already own — a practical option for organizations refreshing workstations without replacing every component.</p><h3>Key features</h3><ul><li>Extended height range: 22"" to 48"" (excludes 1"" top), accommodating a wide range of users.</li><li>Heavy-duty 3-stage steel frame for rigidity and long-term durability in commercial use.</li><li>Synchronized dual-motor actuator drives each leg independently for level, stable adjustment.</li><li>4 programmable memory positions for fast, repeatable height recall.</li><li>Fold-out leg frame for straightforward assembly.</li><li>Contemporary offset foot provides clearance for keyboard trays and accessories.</li><li>Compatible with Innovations tops (sold separately) or retrofit-ready for existing tops.</li><li>In-stock item — available for prompt delivery.</li></ul><h3>Who it's for</h3><p>Office managers and procurement teams sourcing sit-stand solutions for private offices, open-plan workstations, or individual ergonomic accommodations. Well-suited to organizations standardizing on adjustable-height bases across multiple workstations.</p><p>Brant Business Interiors carries and installs across Ontario from 5 locations. <strong>Call 1-800-835-9565</strong> to confirm current stock, compatible top options, and free design layouts for your space.</p>",294,In-stock surfaced per source. No model code present in source — omitted. Retrofit/Innovations top compatibility preserved verbatim.; BAD_ENDING_1
