handle,title,status,vendor,first_sku,variant_count,reason,likely_nonproduct
caster-options,Caster options,ACTIVE,Brant Business Interiors,,2,placeholder-option-page,YES
colour,Colour,ACTIVE,Brant Business Interiors,,6,placeholder-option-page,YES
installation-1,Installation,ACTIVE,Brant Business Interiors,,2,zero-price-quote-page + placeholder-option-page,YES
please-select-a-finish,Please select a Finish,ACTIVE,Brant Business Interiors,,13,placeholder-option-page,YES
please-select-a-finish-1,Please Select a Finish,ACTIVE,Brant Business Interiors,,2,placeholder-option-page,YES
boulevard-system-3,Boulevard system 3,ACTIVE,Brant Business Interiors,,1,zero-price-quote-page,
canopy-seating,Canopy seating,ACTIVE,Borgo,BORGO,1,zero-price-quote-page,
custom-reception-unit-accessories,Custom reception unit & accessories,ACTIVE,Brant Business Interiors,,1,zero-price-quote-page,
diet,Diet,ACTIVE,Brant Business Interiors,,1,zero-price-quote-page,
dispose,Disposal program,ACTIVE,Brant Business Interiors,OCI-DISPOSAL PROGRAM,1,zero-price-quote-page,
indestructible-ryno-furniture,Indestructible ryno furniture,ACTIVE,Pineapple Contracts,Ryno,1,zero-price-quote-page,
pod-phone-booths,Pod phone booths,ACTIVE,Brant Business Interiors,,1,zero-price-quote-page,
ryno-patio-furniture-waterproof-polyethylene,Ryno patio furniture waterproof polyethylene,ACTIVE,Brant Business Interiors,,1,zero-price-quote-page,
solid-steel-shelving-starter-set,"Solid steel shelving, starter set",ACTIVE,Brant Business Interiors,,4,zero-price-quote-page,
sonoma,Sonoma,ACTIVE,Brant Business Interiors,Sanoma,1,zero-price-quote-page,
teknion-ac-boardroom,"Teknion ""ac boardroom""",ACTIVE,Teknion,,1,zero-price-quote-page,
teknion-ac-executive,"Teknion ""ac executive""",ACTIVE,Teknion,,1,zero-price-quote-page,
teknion-boardroom,"Teknion ""boardroom""",ACTIVE,Teknion,,1,zero-price-quote-page,
teknion-byward,"Teknion ""byward""",ACTIVE,Teknion,,1,zero-price-quote-page,
teknion-chronicle,Teknion Chronicle,ACTIVE,Teknion,,1,zero-price-quote-page,
teknion-expansion,Teknion Expansion,ACTIVE,Teknion,,1,zero-price-quote-page,
teknion-glass-walls,Teknion Glass walls,ACTIVE,Teknion,,1,zero-price-quote-page,
teknion-lounge,"Teknion ""lounge""",ACTIVE,Teknion,,1,zero-price-quote-page,
teknion-seating,Teknion Seating,ACTIVE,Teknion,,1,zero-price-quote-page,
teknion-zones,Teknion Zones,ACTIVE,Teknion,,1,zero-price-quote-page,
the-corby-collection,The corby collection,ACTIVE,Global Furniture Group,GLB-Corby,1,zero-price-quote-page,
untethered-go-further-go-anywhere-by-teknion,"Teknion Untethered: go further, go anywhere by:",ACTIVE,Teknion,Teknion-Call Tek Rep,1,zero-price-quote-page,
