Page,Type,Source,Status,Local_Path,FAL_URL,Prompt
homepage,product,GENERATED,DRY_RUN,/Users/leokatz/Desktop/Office Central/data/page-images/homepage/homepage-product.jpg,,"Professional commercial photograph of a modern L-shape executive desk and an ObusForme ergonomic office chair, shot on a clean white studio background, crisp even lighting, sharp detail, slight drop shadow, catalogue style. No people, no text overlays."
homepage,space,OCI_PHOTO,SKIPPED_OCI,/Users/leokatz/Desktop/Office Central/data/oci-photos/office-sitting-room-executive-sitting-1.jpg,,"Wide-angle photograph of a bright, modern Canadian executive open-plan office. Floor-to-ceiling windows with natural light, neutral tones, polished concrete floors, a mix of ergonomic task chairs and sit-stand desks. Clean, professional, institutional feel. No people, no text overlays."
task-seating,product,GENERATED,DRY_RUN,/Users/leokatz/Desktop/Office Central/data/page-images/task-seating/task-seating-product.jpg,,"Professional product photography of the ObusForme Comfort High Back ergonomic office chair on a clean white studio background, slight drop shadow, crisp lighting, commercial catalogue style. No people, no text overlays."
task-seating,space,GENERATED,DRY_RUN,/Users/leokatz/Desktop/Office Central/data/page-images/task-seating/task-seating-space.jpg,,"Wide-angle photograph of a modern multi-desk office with multiple ergonomic task chairs at height-adjustable desks, warm natural light from large windows, neutral palette, healthy ergonomic workspace vibe. No people, no text overlays."
desks,product,GENERATED,DRY_RUN,/Users/leokatz/Desktop/Office Central/data/page-images/desks/desks-product.jpg,,"Professional product photography of an L-shape office desk with an upper hutch storage unit, warm wood-grain finish, on a clean white studio background, commercial catalogue lighting. No people, no text overlays."
desks,space,GENERATED,DRY_RUN,/Users/leokatz/Desktop/Office Central/data/page-images/desks/desks-space.jpg,,"Corner executive office with large L-shape desk bathed in natural window light, contemporary wood and metal finishes, potted plant accent, tidy desktop. Realistic architectural interior photography. No people, no text overlays."
storage,product,GENERATED,DRY_RUN,/Users/leokatz/Desktop/Office Central/data/page-images/storage/storage-product.jpg,,"Professional product photography of a tall lateral file cabinet, Made in Canada, charcoal grey steel finish, on a clean white studio background, sharp catalogue lighting, slight drop shadow. No people, no text overlays."
storage,space,GENERATED,DRY_RUN,/Users/leokatz/Desktop/Office Central/data/page-images/storage/storage-space.jpg,,"Institutional filing corridor with rows of lateral file cabinets in a modern government or hospital administrative office, fluorescent and natural light, clean neutral palette. Architectural interior photography. No people, no text overlays."
collaboration,product,GENERATED,DRY_RUN,/Users/leokatz/Desktop/Office Central/data/page-images/collaboration/collaboration-product.jpg,,"Professional product photography of a large rectangular boardroom conference table paired with premium Keilhauer upholstered boardroom chairs, clean white studio background, commercial catalogue style. No people, no text overlays."
collaboration,space,OCI_PHOTO,SKIPPED_OCI,/Users/leokatz/Desktop/Office Central/data/oci-photos/Subject-Areas-boardroom.jpg,,"Formal Canadian corporate boardroom with a long polished conference table, high-back upholstered chairs, floor-to-ceiling windows overlooking a city skyline, elegant neutral decor, warm ambient lighting. No people, no text overlays."
