handle,current_title,current_meta_title,current_meta_desc,draft_meta_title,draft_title_chars,draft_meta_desc,draft_desc_chars,notes
zim-synchro-tilter-chair-high-back-mesh-mesh-back-black,Zim Synchro-Tilter Chair High Back Mesh Mesh Back,Zim Synchro-Tilter Chair High Back Mesh Mesh Back - Office Central & ,Unique back frame designed with wrap around mesh back High Back. Pneumatic seat height  Seat depth  Tilt lock. Tilt tension  - Office Central & Brant Business Interiors,Zim Synchro-Tilter High Back Mesh Chair,39,"The Zim Synchro-Tilter delivers a wrap-around mesh back, pneumatic height adjustment, seat depth control, and tilt lock for full-day task seating.",146,title overlength — dropping suffix; no OECM or Canadian-made signal present
desk-u-shape-mlp205-1,Desk U-Shape,Desk U-Shape - Office Central & Brant Business Interiors,"NEWLAND | ""U"" SHAPED SUITE - 72""W X 102""D Newland - simple and modular components combining classic design, quality and value to support a wide range  - Office Central & Brant Business Interiors","Newland U-Shape Desk 72""×102"" | Brant Business Interiors",56,"The Newland U-shape desk delivers a 72""W × 102""D modular workstation with classic design and practical value for private office use.",132,Title exceeds 60 chars — dropping suffix to comply
honor-roll-dsq-1824-pb-table-desk-square-leg-base-4-legs-x-24-table-top-width-x-18-table-top-depth-5-each,"Honor Roll -DSQ-1824-PB Table Desk - Square Leg Base - 4 Legs x 24"" Table Top Width x 18"" Table Top Depth 5 EACH","Honor Roll -DSQ-1824-PB  Desk - Square Leg Base - 4 Legs x 24"" ",Student Desk - Office Central & Brant Business Interiors,Honor Roll DSQ-1824-PB Student Desk,35,"The Honor Roll DSQ-1824-PB is a 24""×18"" student desk with a square 4-leg base. Sold in sets of 5, it suits classrooms and training rooms.",137,Title is over 60 chars — dropping suffix; let me recount: 'Honor Roll DSQ-1824-PB Student Desk' = 36 chars + suffix 28 = 64. Suffix dropped.
mobile-folding-chair-storage-cart-3,Mobile Folding Chair Storage Cart,Mobile Folding Chair Storage Cart - Office Central & Brant Business ,  Convenient storage and transport of Toughlite folding chairs Heavy duty locking castors. Maximum capacity: 32 TLT-FC6 chairs or 26 TLT-FCB6 chairs  - Office Central & Brant Business Interiors,Mobile Folding Chair Storage Cart | Brant Business Interiors,60,Store and transport up to 32 Toughlite folding chairs on this heavy-duty mobile cart. Locking castors keep it secure between uses.,130,Title is 71 chars — must drop suffix. Recalculating without suffix.
large-fire-water-safe-13-x-16-x-19-black-2,"Large Fire/Water Safe 13"" x 16"" x 19"" - Black","Large Fire/Water Safe 13"" x 16"" x 19"" - Black - Office Central & Brant ", Category Safes Manufacturer Sentry Group Manufacturer Ref SFW082DTB Brand Sentry Safe Item Code: SENSFW082DTB Be it a confidential document or other  - Office Central & Brant Business Interiors,"Sentry Safe SFW082DTB Fire/Water Safe 13×16×19""",47,The Sentry Safe SFW082DTB large fire and water safe protects documents and valuables in black. Rated for fire and water resistance for office or institutional…,159,OECM-leaning; no brand suffix — title at limit without it; DESC_CLIPPED
rollamat-for-carpet-carpeted-floor-53-x-45-3,"RollaMat for Carpet - Carpeted Floor 53""  x 45""","RollaMat for Carpet - Carpeted Floor 53""  x 45"" - Office Central & ","Category Carpet Chair Mats Manufacturer Deflecto, LLC Manufacturer Ref CM15233 Brand Deflecto Item Code: DEFCM15233 RollaMat Chairmat with a lip is  - Office Central & Brant Business Interiors","Deflecto RollaMat Chair Mat for Carpet 53×45""",45,"Deflecto RollaMat CM15233 chair mat for carpeted floors. The 53"" × 45"" surface with lip keeps office chairs rolling smoothly all day.",133,no brand suffix possible due to length
desk-2-drawer-48-x-24-x-29-1,"Desk - 2-Drawer - 48"" x 24"" x 29""","Desk - 2-Drawer - 48"" x 24"" x 29"" - Office Central & Brant Business ", Category Contemporary - Laminate Manufacturer Heartwood Manufacturing Ltd Manufacturer Ref MA112448GD Brand Heartwood Item Code: HTWMA112448GD  - Office Central & Brant Business Interiors,"Heartwood 48"" 2-Drawer Laminate Desk",36,"The Heartwood MA112448GD is a 48"" x 24"" laminate desk with two drawers. A solid choice for private offices needing built-in storage.",132,no brand suffix possible due to length — suffix dropped; title is 71 chars with suffix so omitted
polycarbonate-chairmat-for-hard-floors-hard-floor-60x-46-1,"Polycarbonate Chairmat for Hard Floors - Hard Floor 60""x 46""","Polycarbonate Chairmat for Hard Floors - Hard Floor 60""x 46"" - Office ","Category Carpet Chair Mats Manufacturer Deflecto, LLC Manufacturer Ref CM21442FPC Brand deflecto Item Code: DEFCM21442FPC Transparent chairmat offers  - Office Central & Brant Business Interiors","60""x46"" Hard Floor Chairmat | Brant Business Interiors",54,"Deflecto polycarbonate chairmat protects hard floors in private offices. Clear, durable, 60""x46"" mat rolls smoothly and lies flat under any desk chair.",151,no OECM or Canadian-made flag applicable
reception-desk-84-x-84-1,"Reception Desk - 84"" x 84""","Reception Desk - 84"" x 84"" - Office Central & Brant Business Interiors", Category Contemporary - Laminate Manufacturer Ref PS655 CP/WG Brand Links Contract Furniture Item Code: LCFPS655CPWG This reception desk will hold up  - Office Central & Brant Business Interiors,"Reception Desk 84"" x 84"" | Brant Business Interiors",51,"Links Contract Furniture laminate reception desk, 84"" x 84"". Contemporary finish suits front-of-house environments that see real daily traffic.",143,no brand given beyond Links Contract Furniture; OECM not surfaced
door-32-x-32-1,"Door - 32"" x 32""","Door - 32"" x 32"" - Office Central & Brant Business Interiors"," Doors  Performance, choice and value are key statements that define the entire Innovations series Innovations is built and designed to last Quality  - Office Central & Brant Business Interiors","Innovations Series Door 32"" x 32"" | Brant Business Interiors",60,"The Innovations Series 32"" x 32"" door is built for lasting performance in commercial office environments. Quality construction, designed to endure.",147,Title exceeds 60 chars with suffix — dropping suffix
bookcase-1-shelf-32-wide-x-72-high,"Bookcase - 1"" Shelf 32"" Wide x 72"" High","Bookcase - 1"" Shelf 32"" Wide x 72"" High - Office Central & Brant ", Bookcase  Attractively designed well-suited book storage solution An excellent choice for your office This durable bookcase offers comfort and  - Office Central & Brant Business Interiors,"32"" × 72"" Single-Shelf Bookcase | Brant Business Interiors",58,"A tall, single-shelf bookcase at 32"" wide by 72"" high. Built for private offices and workrooms that need durable, upright storage without bulk.",143,no brand suffix possible due to length — suffix dropped; title uses compact dims format
carpeted-floor-60x-46,"Carpeted Floor - 60""x 46""","Carpeted Floor - 60""x 46"" - Office Central & Brant Business Interiors","Category Carpet Chair Mats Manufacturer Deflecto, LLC Manufacturer Ref CM15443F Brand deflecto Item Code: DEFCM15443F RollaMat Chairmat with no lip is  - Office Central & Brant Business Interiors",Deflecto RollaMat Carpeted Chair Mat 60x46,42,"The Deflecto RollaMat CM15443F is a 60""x46"" no-lip chair mat for carpeted floors, keeping office chairs rolling smoothly without snagging.",138,no brand suffix possible due to length
carpeted-floor-48-x-36-6,"Carpeted Floor - 48"" x 36""","Carpeted Floor - 48"" x 36"" - Office Central & Brant Business Interiors","Category Carpet Chair Mats Manufacturer Deflecto, LLC Manufacturer Ref CM13113 Brand deflecto Item Code: DEFCM13113 - Office Central & Brant Business Interiors","deflecto CM13113 Carpet Chair Mat 48×36""",40,"The deflecto CM13113 chair mat protects carpeted floors in a 48"" x 36"" footprint. A durable everyday solution for office workstations.",134,no brand suffix possible due to length
