id,title,tier,cluster_vol,cons_pos,exp_pos,aio_disc,cons_visits_mo,exp_visits_mo
C1,Best Standing & Sit-Stand Desks for Canadian Off,WIN,3900,8,4,1.0,117,499
C7,Best Reception & Waiting-Room Furniture for Cana,WIN,3100,8,4,0.7,65,278
C6,Best Conference & Boardroom Tables for Canadian ,WIN,1700,8,4,1.0,51,218
C2,"Best Office Pods, Phone Booths & Acoustic Booths",WIN,1270,8,4,1.0,38,163
C9,Best Ergonomic Office Chairs in Canada (Commerci,MID,1600,12,7,1.0,24,90
C10,Where to Buy Office Furniture in Toronto & Ontar,WIN,600,8,4,1.0,18,77
C8,Best Office Chairs for Long Hours: A Canadian Bu,MID,2300,12,7,0.6,21,77
C11,Affordable Office Furniture for Small Business &,MID,1900,12,7,0.6,17,64
C4,"Best Heavy-Duty, Big-and-Tall & 24/7 Office Chai",WIN,340,8,4,1.0,10,44
C3,Best Canadian-Made Office Chairs & Furniture (Bu,WIN,460,8,4,0.65,9,38
C5,Commercial vs Consumer-Grade Office Furniture: A,WIN,300,8,4,1.0,9,38
C13,Best Modular Office Furniture & Benching for Gro,WIN,250,8,4,1.0,8,32
C15,Most Comfortable Office Chairs / Best for Back P,HARD,1700,18,12,0.6,6,24
C14,Best Executive Office Chairs & Desks for Leaders,MID,400,12,7,0.65,4,15
C16,Premium Office Chair Showdown: Herman Miller vs ,MID,350,12,7,0.6,3,12
C12,Cubicle vs Open-Plan vs Hybrid: An Office-Layout,WIN,120,8,4,0.6,2,9
C17,Best Office Filing Cabinets & Storage for Busine,MID,200,12,7,0.6,2,7
