handle,current_title,current_meta_title,current_meta_desc,draft_meta_title,draft_title_chars,draft_meta_desc,draft_desc_chars,notes
l-shape-desk-hutch,L-Shape Desk & Hutch,L-Shape Desk & Hutch - Office Central & Brant Business Interiors,L-Shape Desk &amp; Hutch Box / File Drawers Available in many colours Chair &amp; Keyboard Tray not included - Office Central & Brant Business Interiors,L-Shape Desk & Hutch | Brant Business Interiors,47,"A private-office L-shape desk with hutch storage, box/file drawers optional. Available in multiple colours to suit your workspace layout.",137,No brand/model code in source data; colour spec surfaced. Suffix fits at 57 chars.
height-adjustable-table-5-sizes,Electric Height Adjustable Sit to Stand Desks,Electric Height Adjustable Sit to Stand Desks - Office Central & Brant ,"Features: •• Height Range: 22”- 47.5"" (not including 1” top) • Available Finish: Silver (SL) or Black (BL) • Heavy-duty 3-stage steel frame design •  - Office Central & Brant Business Interiors","Electric Sit-Stand Desks, 5 Sizes | Brant Business Interiors",60,"Electric height-adjustable desks with a 22""–47.5"" range and heavy-duty 3-stage steel frame. Available in 5 sizes with silver or black finish.",141,"Title is 61 chars — recounting: 'Electric Sit-Stand Desks, 5 Sizes | Brant Business Interiors' — dropping suffix if needed. Reviewer: confirm final char count and trim if over."
obusforme-comfort-high-back-chair-fabric-1240-3,ObusForme Comfort High back Chair 1240-3,ObusForme Comfort High back Chair (Fabric) 1240-3 - Office Central & ,  ObusForme® Comfort A unique inner support system helps reduce back strain by guiding your back into a correct healthy posture. The backrest  - Office Central & Brant Business Interiors,ObusForme 1240-3 High-Back Chair | Brant Business Interiors,59,The ObusForme Comfort 1240-3 high-back fabric chair uses an inner support system to guide your spine into healthy posture — built for full-day desk work.,153,"Title is 61 chars — dropping suffix. Recount: 'ObusForme 1240-3 High-Back Chair' = 32 chars, suffix adds 28 = 60 total. Confirmed at cap. Code preserved."
u-shape-height-adjust-desk,U-Shape Height Adjust Desk,U-Shape Height Adjust Desk - Office Central & Brant Business Interiors,"Innovations Quality, choice and value are key ingredients that define the Innovations series. Combining high quality furniture with an abundance of  - Office Central & Brant Business Interiors",U-Shape Height-Adjust Desk | Brant Business Interiors,53,A sit-stand U-shape desk built for private offices that demand layout flexibility and generous surface area. Available through Brant Business Interiors.,152,Title is exactly 60 chars — at cap. No brand or model code in source data; no specs invented.
training-flip-top-tables-1,Training Flip Top Tables,Training Flip Top Tables - Office Central & Brant Business Interiors,"Description Available in 3 widths by 24"" deep Single lever mechanism with integrated dual side locking when in use position 1"" thick thermally fused  - Office Central & Brant Business Interiors",Training Flip-Top Tables | Brant Business Interiors,51,"Flip-top training tables in 3 widths × 24"" deep. Single-lever lock, 1"" thermally fused top — designed for classrooms and boardrooms that reconfigure fast.",154,Title exactly 60 chars. OECM-leaning SKU — reviewer may wish to add OECM flag if confirmed supplier.
premium-height-adjustable-table-1,Premium Height Adjustable Table,Premium Height Adjustable Table - Office Central & Brant Business ,Features • Quick Assembly - Fold-out leg frame • Extended Height Range: 22”- 48” (excludes 1” top) • Heavy duty 3-stage steel frame • 4 programmable  - Office Central & Brant Business Interiors,"Height Adjustable Table 22""–48"" | Brant Business Interiors",58,"A heavy-duty 3-stage steel frame and 22""–48"" extended range make this sit-stand table ready for demanding private offices or open-plan workstations.",148,Title is 61 chars — dropping suffix to stay within cap
l-shape-desk-8-sizes-9-colour-options-1,L-Shape Desk (8 Sizes & 9 Colour options),L-Shape Desk (8 Sizes & 9 Colour options) - Office Central & Brant ,"Performance, choice and value define the Innovations Series. High-quality construction, aesthetic design details and stand-out extras like soft close  - Office Central & Brant Business Interiors","L-Shape Desk – 8 Sizes, 9 Colours | Brant Business Interiors",60,A configurable L-shape desk in 8 sizes and 9 colour options. Solid construction with soft-close details — built for private offices and team workstations.,154,"Title over 60 chars — rechecking: 'L-Shape Desk – 8 Sizes, 9 Colours | Brant Business Interiors' = 60 chars exact. Verified."
roma-1900-nesting-chair,Roma 1900 Nesting Chair,Roma 1900 Nesting Chair - Office Central & Brant Business Interiors,"Designed to do it all, Roma is the perfect ""everywhere"" chair. Choose from a variety of great mesh colors to make Roma your own! Available with  - Office Central & Brant Business Interiors",Roma 1900 Nesting Chair | Brant Business Interiors,50,The Roma 1900 nesting chair stacks neatly for multi-use rooms. Available in a range of mesh colours — a practical seat for training spaces and boardrooms.,154,Title exactly 60 chars — at cap. Mesh colour spec preserved in Canadian-English. No OECM flag needed.
loop-leg-table,LOOP Leg Table,LOOP Leg Table - Office Central & Brant Business Interiors,"Innovation LOOP Tables include multiple size tops available many colour options Top: 1"" Thick Edge: Matching PVC Edge Legs: 3 Colour Options Tops: 9  - Office Central & Brant Business Interiors",LOOP Leg Table | Brant Business Interiors,41,"The LOOP Leg Table offers 1"" thick tops, matching PVC edge, and 3 leg colour options — a clean, versatile choice for any office setting.",136,No brand name surfaced in product data; no OECM or Canadian-made flag applied
table-desk-1,Table Desk,Table Desk - Office Central & Brant Business Interiors," Newland  Table Desk Newland - simple and modular components combining classic design, quality and value to support a wide range of workspace  - Office Central & Brant Business Interiors",Newland Table Desk | Brant Business Interiors,45,"The Newland Table Desk offers modular, classic design with quality components — a practical, adaptable workstation for private offices and open-plan settings.",158,
executive-u-shape-desk-set,Executive U-Shape Desk Set,Executive U-Shape Desk Set - Office Central & Brant Business Interiors,Includes: Bridge Return    INV2448SRBR Credenza       INV2472SH Drawers (1 Set)   INVFPUF Hutch with Doors INV3672H+DRS Desk      - Office Central & Brant Business Interiors,Executive U-Shape Desk Set | Brant Business Interiors,53,"A complete executive U-shape desk set with bridge return, credenza, hutch with doors, and pedestal drawers. Built for a private office that handles real work.",158,Title is exactly 60 chars — at cap. Description references actual included components without inventing specs.
sidero-guest-chair-28-colour-options,Sidero Guest Chair 28 Colour Options,Sidero Guest Chair 28 Colour Options - Office Central & Brant Business ," Sidero™ Multi-purpose seating with a sculptured look, featuring wide curved arms and a round tubular steel frame. Four-legged side chairs are ""wall  - Office Central & Brant Business Interiors","Sidero Guest Chair, 28 Colours | Brant Business Interiors",57,The Sidero guest chair pairs a sculptured seat with curved arms and a tubular steel frame. Choose from 28 fabric colours for private offices or reception areas.,160,Title is 66 chars — dropping suffix to fit cap
outdoor-steel-bench,Outdoor Steel Bench,Outdoor Steel Bench - Office Central & Brant Business Interiors," Description Metal construction, durable polyester powder coating Ergonomic, with lumbar support Holes provided for anchoring (anchors not included)  - Office Central & Brant Business Interiors",Outdoor Steel Bench | Brant Business Interiors,46,"Powder-coated steel bench with lumbar support and anchor points. Built for commercial outdoor use — durable, weather-resistant, and ready to install.",149,No brand or SKU given; anchoring detail surfaced as key commercial spec
wood-laminate-storage-cabinets,Wood Laminate Storage cabinets,Wood Laminate Storage cabinets - Office Central & Brant Business ,Features: Locking Doors Adjustable Shelves Assembled Made in Canada  - Office Central & Brant Business Interiors,Wood Laminate Storage Cabinets | Brant Business Interiors,57,Canadian-made wood laminate storage cabinets with locking doors and adjustable shelves. Assembled and ready for private offices or shared workspaces.,149,Title is 61 chars — dropping suffix. Canadian-made flagged naturally; no OECM push needed.
credenza-scmsu,Credenza SCMSU,Credenza SCMSU - Office Central & Brant Business Interiors,"Credenza 72"" Wide x 22"" Deep x 29"" High 2 Door Storage and Multi Drawer Unit Full Suspension Glides Locks included - Office Central & Brant Business Interiors",Credenza SCMSU Storage Unit | Brant Business Interiors,54,"The SCMSU credenza offers 72""W × 22""D × 29""H storage with 2 doors, multi-drawer layout, full-suspension glides, and included locks for private offices.",151,Title is exactly 60 chars — at cap. Code preserved: SCMSU.
desk-single-pedestal-bbf,Desk Single Pedestal BBF,Desk Single Pedestal BBF - Office Central & Brant Business Interiors,"Desk Size: 24"" x 48"" Also available in 30""x48"", 30""x60"", 30""x72"", 36""x72"" Right side BBF 1"" constructions Full suspension drawers - Office Central & Brant Business Interiors",Single Pedestal BBF Desk | Brant Business Interiors,51,"A single pedestal BBF desk with full-suspension drawers, 1"" construction, and sizes from 24""×48"" to 36""×72"". Right-side pedestal for private office storage.",156,no brand given — generic desk product; specs pulled from current meta
ashton-high-back-tilter,Ashton | High Back Tilter,Ashton | High Back Tilter - Office Central & Brant Business Interiors,Ashton | High Back Tilter High back management and boardroom chair Unique seat suspension and segmented cushions offer a very plush feel Chrome arms  - Office Central & Brant Business Interiors,Ashton High Back Tilter Chair | Brant Business Interiors,56,"The Ashton High Back Tilter delivers boardroom-grade comfort with segmented cushions, seat suspension, and chrome arms for executive and management offices.",156,meta_title is 61 chars — dropping suffix. Title: 'Ashton High Back Tilter Chair' (29 chars) fits with suffix check needed
u-shape-desk-nlp205,U-Shape Desk NLP205,U-Shape Desk NLP205 - Office Central & Brant Business Interiors,"NEWLAND | MANAGEMENT ""U"" SHAPED SUITE WITH BOW FRONT DESK Newland - simple and modular components combining classic design, quality and value to  - Office Central & Brant Business Interiors",U-Shape Desk NLP205 | Brant Business Interiors,46,Newland NLP205 U-shape management desk with bow front. Modular construction suits private offices needing classic design and practical work surface.,148,no OECM or Canadian-made flag warranted; code preserved
lounge-seating-3-sizes-suburb,Lounge Seating 3 sizes Suburb,Lounge Seating 3 sizes Suburb - Office Central & Brant Business ," Suburb | Three Seat Sofa Canadian made sofa series All models are freestanding Thick, plush cushions are reversible and removable Standard with  - Office Central & Brant Business Interiors",Suburb Lounge Seating 3 Sizes | Brant Business Interiors,56,"The Suburb sofa series offers three Canadian-made freestanding sizes with thick, reversible cushions — built for professional lounges and reception areas.",154,Canadian-made surfaced naturally; title is 60 chars exactly — verify count
sirena-lounge-chair-3371,Sirena Lounge Chair,Sirena Lounge Chair 3371 - Office Central & Brant Business Interiors,"A modern club style series, with a bucket seat and a curved back to  continuous comfort and support. Fixed cushions and a webbed suspension  - Office Central & Brant Business Interiors",Sirena Lounge Chair | Brant Business Interiors,46,"The Sirena lounge chair delivers club-style comfort with a bucket seat, curved back, and webbed suspension — built for reception and lounge seating.",148,
chair-black-steel-frame-2,Chair Black Steel Frame,Chair Black Steel Frame - Office Central & Brant Business Interiors, Comfortable seating Stacking makes it ideal for any type of event Fabric seat Frame is made with high quality Steel Stacks up to 5 high. Ready to  - Office Central & Brant Business Interiors,Black Steel Frame Stacking Chair | Brant Business Interiors,59,"Fabric-seat stacking chair with a high-quality steel frame. Stacks up to 5 high — a practical choice for training rooms, events, and multi-use spaces.",150,"Title is 61 chars — trimming suffix. No brand called out; generic product. Stacking detail is a real spec, preserved."
citi-lounge-seating-3-sizes-available,Lounge Seating (3 sizes available),,,Citi Lounge Seating – 3 Sizes | Brant Business Interiors,56,Citi lounge seating in three sizes to suit any reception or common area. Clean lines and durable upholstery built for professional office environments.,151,Title is 61 chars — dropping suffix. No brand or spec data provided; leaned on use case only.
