kind,handle,title,url,step,published,desc_present,desc_words,answer_first_words,rendered,http,seo_title_len,meta_desc_len,faq_jsonld,faq_byte_match,review_or_testimonial,nap_address,nap_phone,flags
collection,24-hour-seating,24 Hour (Seating),/collections/24-hour-seating,2,yes,no,0,0,yes,200,61,43,no,no,no,absent,exact,[S2] collection.description EMPTY (no answer-first intro); [S9] SEO title 61 chars (>= 60); [S2] no FAQ JSON-LD emitted on page; [S6] no testimonial / Review schema present
collection,acoustic-panels,Acoustic Panels,/collections/acoustic-panels,2,no,no,0,0,no,,,,n/a,n/a,n/a,n/a,n/a,[S2] collection.description EMPTY (no answer-first intro); [--] unpublished — storefront checks skipped
collection,acoustic-pods,Acoustic Pods,/collections/acoustic-pods,2,yes,no,0,0,yes,200,41,0,no,no,no,absent,exact,[S2] collection.description EMPTY (no answer-first intro); [S9] meta description MISSING; [S2] no FAQ JSON-LD emitted on page; [S6] no testimonial / Review schema present
collection,active-seating,Active Seating,/collections/active-seating,2,no,no,0,0,no,,,,n/a,n/a,n/a,n/a,n/a,[S2] collection.description EMPTY (no answer-first intro); [--] unpublished — storefront checks skipped
collection,bar-height-tables,Bar Height (Tables),/collections/bar-height-tables,2,yes,no,0,0,yes,200,63,43,no,no,no,absent,exact,[S2] collection.description EMPTY (no answer-first intro); [S9] SEO title 63 chars (>= 60); [S2] no FAQ JSON-LD emitted on page; [S6] no testimonial / Review schema present
collection,bariatric-seating,Bariatric Seating,/collections/bariatric-seating,2,yes,yes,103,60,yes,200,61,43,yes,yes,no,absent,exact,[S9] SEO title 61 chars (>= 60); [S6] no testimonial / Review schema present
collection,beam-seating,Beam Seating,/collections/beam-seating,2,no,no,0,0,no,,,,n/a,n/a,n/a,n/a,n/a,[S2] collection.description EMPTY (no answer-first intro); [--] unpublished — storefront checks skipped
collection,bench-seating,Bench Seating,/collections/bench-seating,2,no,no,0,0,no,,,,n/a,n/a,n/a,n/a,n/a,[S2] collection.description EMPTY (no answer-first intro); [--] unpublished — storefront checks skipped
collection,benching-desks,Benching (Desks),/collections/benching-desks,2,yes,no,0,0,yes,200,60,43,no,no,no,absent,exact,[S2] collection.description EMPTY (no answer-first intro); [S9] SEO title 60 chars (>= 60); [S2] no FAQ JSON-LD emitted on page; [S6] no testimonial / Review schema present
collection,big-heavy-seating,Big & Heavy (Seating),/collections/big-heavy-seating,2,yes,no,0,0,yes,200,65,43,no,no,no,absent,exact,[S2] collection.description EMPTY (no answer-first intro); [S9] SEO title 65 chars (>= 60); [S2] no FAQ JSON-LD emitted on page; [S6] no testimonial / Review schema present
collection,boardroom-conference-meeting,Boardroom / Conference / Meeting,/collections/boardroom-conference-meeting,2,yes,yes,124,60,yes,200,66,43,yes,yes,no,absent,exact,[S9] SEO title 66 chars (>= 60); [S6] no testimonial / Review schema present
collection,boardroom-seating,Boardroom Seating,/collections/boardroom-seating,2,no,no,0,0,no,,,,n/a,n/a,n/a,n/a,n/a,[S2] collection.description EMPTY (no answer-first intro); [--] unpublished — storefront checks skipped
collection,boardroom-storage,Boardroom Storage,/collections/boardroom-storage,2,no,no,0,0,no,,,,n/a,n/a,n/a,n/a,n/a,[S2] collection.description EMPTY (no answer-first intro); [--] unpublished — storefront checks skipped
collection,bookcases,Bookcases,/collections/bookcases,2,yes,no,0,0,yes,200,53,43,no,no,no,absent,exact,[S2] collection.description EMPTY (no answer-first intro); [S2] no FAQ JSON-LD emitted on page; [S6] no testimonial / Review schema present
collection,bookcases-storage,Bookcases (Storage),/collections/bookcases-storage,2,no,no,0,0,no,,,,n/a,n/a,n/a,n/a,n/a,[S2] collection.description EMPTY (no answer-first intro); [--] unpublished — storefront checks skipped
collection,cafe-tables,Café & Bistro Tables,/collections/cafe-tables,2,no,no,0,0,no,,,,n/a,n/a,n/a,n/a,n/a,[S2] collection.description EMPTY (no answer-first intro); [--] unpublished — storefront checks skipped
collection,cafeteria-kitchen-tables,Cafeteria / Kitchen (Tables),/collections/cafeteria-kitchen-tables,2,yes,no,0,0,yes,200,62,43,no,no,no,absent,exact,[S2] collection.description EMPTY (no answer-first intro); [S9] SEO title 62 chars (>= 60); [S2] no FAQ JSON-LD emitted on page; [S6] no testimonial / Review schema present
collection,cluster-seating,Cluster Seating,/collections/cluster-seating,2,no,no,0,0,no,,,,n/a,n/a,n/a,n/a,n/a,[S2] collection.description EMPTY (no answer-first intro); [--] unpublished — storefront checks skipped
collection,coffee-tables,Coffee Tables,/collections/coffee-tables,2,yes,no,0,0,yes,200,57,43,no,no,no,absent,exact,[S2] collection.description EMPTY (no answer-first intro); [S2] no FAQ JSON-LD emitted on page; [S6] no testimonial / Review schema present
collection,conference-seating,Conference Seating,/collections/conference-seating,2,no,no,0,0,no,,,,n/a,n/a,n/a,n/a,n/a,[S2] collection.description EMPTY (no answer-first intro); [--] unpublished — storefront checks skipped
collection,credenzas,Credenza's,/collections/credenzas,2,yes,no,0,0,yes,200,54,43,no,no,no,absent,exact,[S2] collection.description EMPTY (no answer-first intro); [S2] no FAQ JSON-LD emitted on page; [S6] no testimonial / Review schema present
collection,desk-accessories,Desk Accessories,/collections/desk-accessories,2,no,no,0,0,no,,,,n/a,n/a,n/a,n/a,n/a,[S2] collection.description EMPTY (no answer-first intro); [--] unpublished — storefront checks skipped
collection,desk-top-dividers,Desk Top Dividers,/collections/desk-top-dividers,2,yes,no,0,0,yes,200,61,43,no,no,no,absent,exact,[S2] collection.description EMPTY (no answer-first intro); [S9] SEO title 61 chars (>= 60); [S2] no FAQ JSON-LD emitted on page; [S6] no testimonial / Review schema present
collection,desktop-accessories,Desktop Accessories,/collections/desktop-accessories,2,no,no,0,0,no,,,,n/a,n/a,n/a,n/a,n/a,[S2] collection.description EMPTY (no answer-first intro); [--] unpublished — storefront checks skipped
collection,desktop-sit-stand,Desktop Sit Stand,/collections/desktop-sit-stand,2,yes,no,0,0,yes,200,61,43,no,no,no,absent,exact,[S2] collection.description EMPTY (no answer-first intro); [S9] SEO title 61 chars (>= 60); [S2] no FAQ JSON-LD emitted on page; [S6] no testimonial / Review schema present
collection,drafting-tables,Drafting Tables,/collections/drafting-tables,2,yes,no,0,0,yes,200,59,43,no,no,no,absent,exact,[S2] collection.description EMPTY (no answer-first intro); [S2] no FAQ JSON-LD emitted on page; [S6] no testimonial / Review schema present
collection,end-tab-filing-storage,End Tab Filing (Storage),/collections/end-tab-filing-storage,2,no,no,0,0,no,,,,n/a,n/a,n/a,n/a,n/a,[S2] collection.description EMPTY (no answer-first intro); [--] unpublished — storefront checks skipped
collection,end-tables-tables,End tables (Tables),/collections/end-tables-tables,2,yes,no,0,0,yes,200,63,43,no,no,no,absent,exact,[S2] collection.description EMPTY (no answer-first intro); [S9] SEO title 63 chars (>= 60); [S2] no FAQ JSON-LD emitted on page; [S6] no testimonial / Review schema present
collection,ergonomic-accessories,Ergonomic Accessories,/collections/ergonomic-accessories,2,no,no,0,0,no,,,,n/a,n/a,n/a,n/a,n/a,[S2] collection.description EMPTY (no answer-first intro); [--] unpublished — storefront checks skipped
collection,executive-desks,Executive Desks,/collections/executive-desks,2,yes,no,0,0,yes,200,50,158,no,no,no,absent,exact,[S2] collection.description EMPTY (no answer-first intro); [S9] meta description 158 chars (> 155); [S2] no FAQ JSON-LD emitted on page; [S6] no testimonial / Review schema present
collection,executive-seating,Executive Seating,/collections/executive-seating,2,no,no,0,0,no,,,,n/a,n/a,n/a,n/a,n/a,[S2] collection.description EMPTY (no answer-first intro); [--] unpublished — storefront checks skipped
collection,fire-resistant-file-cabinets-storage,Fire Resistant File Cabinets (Storage),/collections/fire-resistant-file-cabinets-storage,2,yes,yes,104,60,yes,200,63,43,yes,yes,no,absent,exact,[S9] SEO title 63 chars (>= 60); [S6] no testimonial / Review schema present
collection,fire-resistant-safes-storage,Fire Resistant Safes (Storage),/collections/fire-resistant-safes-storage,2,yes,no,0,0,yes,200,64,43,no,no,no,absent,exact,[S2] collection.description EMPTY (no answer-first intro); [S9] SEO title 64 chars (>= 60); [S2] no FAQ JSON-LD emitted on page; [S6] no testimonial / Review schema present
collection,focus-rooms,Focus Room Furniture,/collections/focus-rooms,2,yes,no,0,0,yes,200,48,0,no,no,no,absent,exact,[S2] collection.description EMPTY (no answer-first intro); [S9] meta description MISSING; [S2] no FAQ JSON-LD emitted on page; [S6] no testimonial / Review schema present
collection,folding-tables-tables,Folding Tables (Tables),/collections/folding-tables-tables,2,yes,no,0,0,yes,200,67,43,no,no,no,absent,exact,[S2] collection.description EMPTY (no answer-first intro); [S9] SEO title 67 chars (>= 60); [S2] no FAQ JSON-LD emitted on page; [S6] no testimonial / Review schema present
collection,folding-stacking-chairs-carts,Folding/Stacking Chairs & Carts,/collections/folding-stacking-chairs-carts,2,yes,no,0,0,yes,200,65,43,no,no,no,absent,exact,[S2] collection.description EMPTY (no answer-first intro); [S9] SEO title 65 chars (>= 60); [S2] no FAQ JSON-LD emitted on page; [S6] no testimonial / Review schema present
collection,gaming,Gaming,/collections/gaming,2,yes,no,0,0,yes,200,50,43,no,no,no,absent,exact,[S2] collection.description EMPTY (no answer-first intro); [S2] no FAQ JSON-LD emitted on page; [S6] no testimonial / Review schema present
collection,global-furniture,Global Furniture Group,/collections/global-furniture,2,no,no,0,0,no,,,,n/a,n/a,n/a,n/a,n/a,[S2] collection.description EMPTY (no answer-first intro); [--] unpublished — storefront checks skipped
collection,guest-seating,Guest (Seating),/collections/guest-seating,2,yes,no,0,0,yes,200,59,43,no,no,no,absent,exact,[S2] collection.description EMPTY (no answer-first intro); [S2] no FAQ JSON-LD emitted on page; [S6] no testimonial / Review schema present
collection,healthcare-seating,Healthcare Seating,/collections/healthcare-seating,2,no,no,0,0,no,,,,n/a,n/a,n/a,n/a,n/a,[S2] collection.description EMPTY (no answer-first intro); [--] unpublished — storefront checks skipped
collection,height-adjustable-tables,Height Adjustable Tables,/collections/height-adjustable-tables,2,yes,yes,143,60,yes,200,68,43,yes,yes,no,absent,exact,[S9] SEO title 68 chars (>= 60); [S6] no testimonial / Review schema present
collection,height-adjustable-tables-desks,Height Adjustable Tables (Desks),/collections/height-adjustable-tables-desks,2,no,no,0,0,no,,,,n/a,n/a,n/a,n/a,n/a,[S2] collection.description EMPTY (no answer-first intro); [--] unpublished — storefront checks skipped
collection,high-density-storage,High-Density Storage,/collections/high-density-storage,2,no,no,0,0,no,,,,n/a,n/a,n/a,n/a,n/a,[S2] collection.description EMPTY (no answer-first intro); [--] unpublished — storefront checks skipped
collection,highback-seating,Highback (Seating),/collections/highback-seating,2,yes,no,0,0,yes,200,62,43,no,no,no,absent,exact,[S2] collection.description EMPTY (no answer-first intro); [S9] SEO title 62 chars (>= 60); [S2] no FAQ JSON-LD emitted on page; [S6] no testimonial / Review schema present
collection,hutch,Hutch,/collections/hutch,2,no,no,0,0,no,,,,n/a,n/a,n/a,n/a,n/a,[S2] collection.description EMPTY (no answer-first intro); [--] unpublished — storefront checks skipped
collection,industrial-seating,Industrial Seating,/collections/industrial-seating,2,yes,no,0,0,yes,200,62,43,no,no,no,absent,exact,[S2] collection.description EMPTY (no answer-first intro); [S9] SEO title 62 chars (>= 60); [S2] no FAQ JSON-LD emitted on page; [S6] no testimonial / Review schema present
collection,keyboard-trays,Keyboard Trays,/collections/keyboard-trays,2,yes,no,0,0,yes,200,58,43,no,no,no,absent,exact,[S2] collection.description EMPTY (no answer-first intro); [S2] no FAQ JSON-LD emitted on page; [S6] no testimonial / Review schema present
collection,l-shape-desks,L-Shape Desks,/collections/l-shape-desks,2,yes,no,0,0,yes,200,57,43,no,no,no,absent,exact,[S2] collection.description EMPTY (no answer-first intro); [S2] no FAQ JSON-LD emitted on page; [S6] no testimonial / Review schema present
collection,l-shape-desks-desks,L-Shape Desks,/collections/l-shape-desks-desks,2,no,no,0,0,no,,,,n/a,n/a,n/a,n/a,n/a,[S2] collection.description EMPTY (no answer-first intro); [--] unpublished — storefront checks skipped
collection,lateral-storage-combo-storage,Lateral / Storage Combo (Storage),/collections/lateral-storage-combo-storage,2,yes,no,0,0,yes,200,67,43,no,no,no,absent,exact,[S2] collection.description EMPTY (no answer-first intro); [S9] SEO title 67 chars (>= 60); [S2] no FAQ JSON-LD emitted on page; [S6] no testimonial / Review schema present
collection,lateral-file-cabinets-storage,Lateral File Cabinets (Storage),/collections/lateral-file-cabinets-storage,2,yes,no,0,0,yes,200,65,43,no,no,no,absent,exact,[S2] collection.description EMPTY (no answer-first intro); [S9] SEO title 65 chars (>= 60); [S2] no FAQ JSON-LD emitted on page; [S6] no testimonial / Review schema present
collection,lateral-files-storage,Lateral Files (Storage),/collections/lateral-files-storage,2,yes,no,0,0,yes,200,67,43,no,no,no,absent,exact,[S2] collection.description EMPTY (no answer-first intro); [S9] SEO title 67 chars (>= 60); [S2] no FAQ JSON-LD emitted on page; [S6] no testimonial / Review schema present
collection,leather-faux-seating,Leather / Faux (Seating),/collections/leather-faux-seating,2,yes,no,0,0,yes,200,68,43,no,no,no,absent,exact,[S2] collection.description EMPTY (no answer-first intro); [S9] SEO title 68 chars (>= 60); [S2] no FAQ JSON-LD emitted on page; [S6] no testimonial / Review schema present
collection,lecterns-podiums,Lecterns / Podiums,/collections/lecterns-podiums,2,yes,yes,128,60,yes,200,62,43,yes,yes,no,absent,exact,[S9] SEO title 62 chars (>= 60); [S6] no testimonial / Review schema present
collection,lighting,Lighting,/collections/lighting,2,yes,no,0,0,yes,200,52,43,no,no,no,absent,exact,[S2] collection.description EMPTY (no answer-first intro); [S2] no FAQ JSON-LD emitted on page; [S6] no testimonial / Review schema present
collection,lockers,Lockers,/collections/lockers,2,yes,no,0,0,yes,200,51,43,no,no,no,absent,exact,[S2] collection.description EMPTY (no answer-first intro); [S2] no FAQ JSON-LD emitted on page; [S6] no testimonial / Review schema present
collection,lounge-chairs-seating,Lounge Chairs (Seating),/collections/lounge-chairs-seating,2,yes,no,0,0,yes,200,67,43,no,no,no,absent,exact,[S2] collection.description EMPTY (no answer-first intro); [S9] SEO title 67 chars (>= 60); [S2] no FAQ JSON-LD emitted on page; [S6] no testimonial / Review schema present
collection,lounge-seating,Lounge Seating,/collections/lounge-seating,2,yes,no,0,0,yes,200,42,0,no,no,no,absent,exact,[S2] collection.description EMPTY (no answer-first intro); [S9] meta description MISSING; [S2] no FAQ JSON-LD emitted on page; [S6] no testimonial / Review schema present
collection,mailboxes,Mailboxes & Sorters,/collections/mailboxes,2,no,no,0,0,no,,,,n/a,n/a,n/a,n/a,n/a,[S2] collection.description EMPTY (no answer-first intro); [--] unpublished — storefront checks skipped
collection,media-storage,Media & AV Storage,/collections/media-storage,2,no,no,0,0,no,,,,n/a,n/a,n/a,n/a,n/a,[S2] collection.description EMPTY (no answer-first intro); [--] unpublished — storefront checks skipped
collection,medium-back-seating,Medium Back (Seating),/collections/medium-back-seating,2,yes,no,0,0,yes,200,65,43,no,no,no,absent,exact,[S2] collection.description EMPTY (no answer-first intro); [S9] SEO title 65 chars (>= 60); [S2] no FAQ JSON-LD emitted on page; [S6] no testimonial / Review schema present
collection,meeting-conference-room-tables,Meeting & Conference Room Tables,/collections/meeting-conference-room-tables,2,yes,no,0,0,yes,200,66,43,no,no,no,absent,exact,[S2] collection.description EMPTY (no answer-first intro); [S9] SEO title 66 chars (>= 60); [S2] no FAQ JSON-LD emitted on page; [S6] no testimonial / Review schema present
collection,meeting-tables,Meeting Tables,/collections/meeting-tables,2,yes,yes,117,60,yes,200,58,43,yes,yes,no,absent,exact,[S6] no testimonial / Review schema present
collection,mesh-seating,Mesh (Seating),/collections/mesh-seating,2,yes,no,0,0,yes,200,58,43,no,no,no,absent,exact,[S2] collection.description EMPTY (no answer-first intro); [S2] no FAQ JSON-LD emitted on page; [S6] no testimonial / Review schema present
collection,mobile-pedestals,Mobile Pedestals,/collections/mobile-pedestals,2,yes,no,0,0,yes,200,60,43,no,no,no,absent,exact,[S2] collection.description EMPTY (no answer-first intro); [S9] SEO title 60 chars (>= 60); [S2] no FAQ JSON-LD emitted on page; [S6] no testimonial / Review schema present
collection,mobile-storage,Mobile Storage Carts,/collections/mobile-storage,2,no,no,0,0,no,,,,n/a,n/a,n/a,n/a,n/a,[S2] collection.description EMPTY (no answer-first intro); [--] unpublished — storefront checks skipped
collection,modesty-panels,Modesty Panels,/collections/modesty-panels,2,yes,no,0,0,yes,200,58,43,no,no,no,absent,exact,[S2] collection.description EMPTY (no answer-first intro); [S2] no FAQ JSON-LD emitted on page; [S6] no testimonial / Review schema present
collection,modular-workstations,Modular Workstations,/collections/modular-workstations,2,yes,no,0,0,yes,200,48,0,no,no,no,absent,exact,[S2] collection.description EMPTY (no answer-first intro); [S9] meta description MISSING; [S2] no FAQ JSON-LD emitted on page; [S6] no testimonial / Review schema present
collection,monitor-arms,Monitor Arms,/collections/monitor-arms,2,yes,no,0,0,yes,200,56,43,no,no,no,absent,exact,[S2] collection.description EMPTY (no answer-first intro); [S2] no FAQ JSON-LD emitted on page; [S6] no testimonial / Review schema present
collection,multi-person-workstations-desks,Multi Person Workstations (Desks),/collections/multi-person-workstations-desks,2,no,no,0,0,no,,,,n/a,n/a,n/a,n/a,n/a,[S2] collection.description EMPTY (no answer-first intro); [--] unpublished — storefront checks skipped
collection,multipurpose-tables,Multi-Purpose Tables,/collections/multipurpose-tables,2,no,no,0,0,no,,,,n/a,n/a,n/a,n/a,n/a,[S2] collection.description EMPTY (no answer-first intro); [--] unpublished — storefront checks skipped
collection,nesting-tables,Nesting & Folding Tables,/collections/nesting-tables,2,no,no,0,0,no,,,,n/a,n/a,n/a,n/a,n/a,[S2] collection.description EMPTY (no answer-first intro); [--] unpublished — storefront checks skipped
collection,nesting-chairs-chair,Nesting Chairs (Chair),/collections/nesting-chairs-chair,2,yes,yes,116,60,yes,200,66,43,yes,yes,no,absent,exact,[S9] SEO title 66 chars (>= 60); [S6] no testimonial / Review schema present
collection,office-suites-desks,Office Suites (Desks),/collections/office-suites-desks,2,yes,no,0,0,yes,200,42,155,no,no,no,absent,exact,[S2] collection.description EMPTY (no answer-first intro); [S2] no FAQ JSON-LD emitted on page; [S6] no testimonial / Review schema present
collection,ottomans,Ottomans,/collections/ottomans,2,yes,no,0,0,yes,200,52,43,no,no,no,absent,exact,[S2] collection.description EMPTY (no answer-first intro); [S2] no FAQ JSON-LD emitted on page; [S6] no testimonial / Review schema present
collection,outdoor-seating,Outdoor Seating,/collections/outdoor-seating,2,yes,no,0,0,yes,200,59,43,no,no,no,absent,exact,[S2] collection.description EMPTY (no answer-first intro); [S2] no FAQ JSON-LD emitted on page; [S6] no testimonial / Review schema present
collection,outdoor-tables,Outdoor Tables,/collections/outdoor-tables,2,no,no,0,0,no,,,,n/a,n/a,n/a,n/a,n/a,[S2] collection.description EMPTY (no answer-first intro); [--] unpublished — storefront checks skipped
collection,pedestal-drawers-storage,Pedestal / Drawers (Storage),/collections/pedestal-drawers-storage,2,yes,yes,111,60,yes,200,62,43,yes,yes,no,absent,exact,[S9] SEO title 62 chars (>= 60); [S6] no testimonial / Review schema present
collection,personal-storage,Personal Storage,/collections/personal-storage,2,no,no,0,0,no,,,,n/a,n/a,n/a,n/a,n/a,[S2] collection.description EMPTY (no answer-first intro); [--] unpublished — storefront checks skipped
collection,privacy-screens,Privacy Screens,/collections/privacy-screens,2,no,no,0,0,no,,,,n/a,n/a,n/a,n/a,n/a,[S2] collection.description EMPTY (no answer-first intro); [--] unpublished — storefront checks skipped
collection,reception,Reception,/collections/reception,2,no,no,0,0,no,,,,n/a,n/a,n/a,n/a,n/a,[S2] collection.description EMPTY (no answer-first intro); [--] unpublished — storefront checks skipped
collection,reception-desks-desks,Reception Desks (Desks),/collections/reception-desks-desks,2,yes,no,0,0,yes,200,42,154,no,no,no,absent,exact,[S2] collection.description EMPTY (no answer-first intro); [S2] no FAQ JSON-LD emitted on page; [S6] no testimonial / Review schema present
collection,task-chairs,Task Chairs,/collections/task-chairs,2,yes,no,0,0,yes,200,68,112,no,no,no,absent,exact,[S2] collection.description EMPTY (no answer-first intro); [S9] SEO title 68 chars (>= 60); [S2] no FAQ JSON-LD emitted on page; [S6] no testimonial / Review schema present
page,about,About Brant Business Interiors,/pages/about,5,yes,no,0,0,yes,200,52,155,no,no,no,absent,exact,[S6] no testimonial / Review schema present
page,brands,Brands We Carry,/pages/brands,4,yes,no,0,0,yes,200,59,150,no,no,no,absent,exact,[S6] no testimonial / Review schema present
page,customer-stories,Customer Stories,/pages/customer-stories,5,yes,no,0,0,yes,200,60,159,no,no,no,absent,exact,[S9] SEO title 60 chars (>= 60); [S9] meta description 159 chars (> 155); [S6] no testimonial / Review schema present
page,delivery,Delivery & Installation,/pages/delivery,5,yes,no,0,0,yes,200,48,153,no,no,no,absent,exact,[S6] no testimonial / Review schema present
page,education,Education Furniture,/pages/education,5,yes,no,0,0,yes,200,53,155,yes,no,no,absent,exact,[S6] no testimonial / Review schema present
page,brands-ergocentric,ergoCentric — Authorized Dealer,/pages/brands-ergocentric,4,yes,no,0,0,yes,200,37,155,no,no,no,absent,exact,[S6] no testimonial / Review schema present
page,ergonomic-office-chairs,Ergonomic Office Chairs,/pages/ergonomic-office-chairs,5,yes,no,0,0,yes,200,57,153,yes,yes,no,absent,exact,[S6] no testimonial / Review schema present
page,faq,FAQ,/pages/faq,5,yes,no,0,0,yes,200,47,162,yes,yes,no,absent,exact,[S9] meta description 162 chars (> 155); [S6] no testimonial / Review schema present
page,design-services,Free Office Design Layout & Space Planning | Brant Business Interiors,/pages/design-services,5,yes,no,0,0,yes,200,48,154,yes,yes,yes,absent,exact,
page,brands-global-teknion,Global / Teknion — Authorized Dealer,/pages/brands-global-teknion,4,yes,no,0,0,yes,200,37,160,yes,yes,no,absent,exact,[S9] meta description 160 chars (> 155); [S6] no testimonial / Review schema present
page,government,Government & Municipal Furniture,/pages/government,5,yes,no,0,0,yes,200,54,149,yes,no,no,absent,exact,[S6] no testimonial / Review schema present
page,healthcare,Healthcare & Clinical Office Furniture for Ontario,/pages/healthcare,5,yes,no,0,0,yes,200,54,155,yes,yes,no,absent,exact,[S6] no testimonial / Review schema present
page,brands-heartwood,Heartwood Manufacturing,/pages/brands-heartwood,4,yes,no,0,0,yes,200,38,161,no,no,no,absent,exact,[S9] meta description 161 chars (> 155); [S6] no testimonial / Review schema present
page,industries,Industries We Serve | Brant Business Interiors,/pages/industries,5,yes,no,0,0,yes,200,56,177,yes,no,no,absent,exact,[S9] meta description 177 chars (> 155); [S6] no testimonial / Review schema present
page,brands-keilhauer,Keilhauer — Authorized Dealer,/pages/brands-keilhauer,4,yes,no,0,0,yes,200,59,159,no,no,no,absent,exact,[S9] meta description 159 chars (> 155); [S6] no testimonial / Review schema present
page,non-profit,Non-Profit Office Furniture,/pages/non-profit,5,yes,no,0,0,yes,200,51,157,yes,no,no,absent,exact,[S9] meta description 157 chars (> 155); [S6] no testimonial / Review schema present
page,brands-obusforme,ObusForme,/pages/brands-obusforme,4,yes,no,0,0,yes,200,35,156,no,no,no,absent,exact,[S9] meta description 156 chars (> 155); [S6] no testimonial / Review schema present
page,oecm,OECM,/pages/oecm,5,yes,no,0,0,yes,200,51,159,yes,yes,no,absent,exact,[S9] meta description 159 chars (> 155); [S6] no testimonial / Review schema present
page,office-furniture-barrie,Office Furniture in Barrie,/pages/office-furniture-barrie,7,no,no,0,0,no,,,,n/a,n/a,n/a,n/a,n/a,[--] unpublished — storefront checks skipped
page,office-furniture-brampton,Office Furniture in Brampton,/pages/office-furniture-brampton,7,no,no,0,0,no,,,,n/a,n/a,n/a,n/a,n/a,[--] unpublished — storefront checks skipped
page,office-furniture-brantford,Office Furniture in Brantford,/pages/office-furniture-brantford,7,no,no,0,0,no,,,,n/a,n/a,n/a,n/a,n/a,[--] unpublished — storefront checks skipped
page,office-furniture-burlington,"Office Furniture in Burlington, Ontario",/pages/office-furniture-burlington,7,no,no,0,0,no,,,,n/a,n/a,n/a,n/a,n/a,[--] unpublished — storefront checks skipped
page,office-furniture-cambridge,"Office Furniture in Cambridge, Ontario",/pages/office-furniture-cambridge,7,no,no,0,0,no,,,,n/a,n/a,n/a,n/a,n/a,[--] unpublished — storefront checks skipped
page,office-furniture-hamilton,Office Furniture in Hamilton,/pages/office-furniture-hamilton,7,no,no,0,0,no,,,,n/a,n/a,n/a,n/a,n/a,[--] unpublished — storefront checks skipped
page,office-furniture-kitchener-waterloo,Office Furniture in Kitchener and Waterloo,/pages/office-furniture-kitchener-waterloo,7,no,no,0,0,no,,,,n/a,n/a,n/a,n/a,n/a,[--] unpublished — storefront checks skipped
page,office-furniture-london,"Office Furniture in London, Ontario",/pages/office-furniture-london,7,no,no,0,0,no,,,,n/a,n/a,n/a,n/a,n/a,[--] unpublished — storefront checks skipped
page,office-furniture-markham,Office Furniture in Markham,/pages/office-furniture-markham,7,no,no,0,0,no,,,,n/a,n/a,n/a,n/a,n/a,[--] unpublished — storefront checks skipped
page,office-furniture-mississauga,Office Furniture in Mississauga,/pages/office-furniture-mississauga,7,no,no,0,0,no,,,,n/a,n/a,n/a,n/a,n/a,[--] unpublished — storefront checks skipped
page,office-furniture-oakville,Office Furniture in Oakville,/pages/office-furniture-oakville,7,no,no,0,0,no,,,,n/a,n/a,n/a,n/a,n/a,[--] unpublished — storefront checks skipped
page,office-furniture-oshawa,Office Furniture in Oshawa,/pages/office-furniture-oshawa,7,no,no,0,0,no,,,,n/a,n/a,n/a,n/a,n/a,[--] unpublished — storefront checks skipped
page,office-furniture-peterborough,Office Furniture in Peterborough,/pages/office-furniture-peterborough,7,no,no,0,0,no,,,,n/a,n/a,n/a,n/a,n/a,[--] unpublished — storefront checks skipped
page,office-furniture-vaughan,Office Furniture in Vaughan,/pages/office-furniture-vaughan,7,no,no,0,0,no,,,,n/a,n/a,n/a,n/a,n/a,[--] unpublished — storefront checks skipped
