parent_hub,sub_collection_handle,collection_type,products_count,template_suffix_current,notes
accessories,anti-fatigue-mats,custom,0,(none),"EMPTY LEGACY — no products, not yet created"
accessories,chair-accessories,custom,0,(none),"EMPTY LEGACY — no products, not yet created"
accessories,desk-accessories,custom,0,base,EMPTY BASE SHELL
accessories,desktop-accessories,custom,0,base,EMPTY BASE SHELL
accessories,mailboxes,custom,0,base,EMPTY BASE SHELL
accessories,technology,custom,0,(none),"EMPTY LEGACY — no products, not yet created"
boardroom,boardroom-conference-meeting,custom,11,(none),POPULATED LEGACY — needs template flip
boardroom,lecterns-podiums,custom,5,(none),POPULATED LEGACY — needs template flip
boardroom,audio-visual-equipment,custom,0,(none),"EMPTY LEGACY — no products, not yet created"
boardroom,boardroom-seating,custom,0,base,EMPTY BASE SHELL
boardroom,boardroom-storage,custom,0,base,EMPTY BASE SHELL
desks,l-shape-desks-desks,custom,31,(none),POPULATED LEGACY — needs template flip
desks,height-adjustable-tables-desks,custom,21,(none),POPULATED LEGACY — needs template flip
desks,straight-desks-desks,custom,17,(none),POPULATED LEGACY — needs template flip
desks,u-shape-desks-desks,custom,16,(none),POPULATED LEGACY — needs template flip
desks,office-suites-desks,custom,13,(none),POPULATED LEGACY — needs template flip
desks,multi-person-workstations-desks,custom,9,(none),POPULATED LEGACY — needs template flip
desks,table-desks,custom,6,(none),POPULATED LEGACY — needs template flip
desks,reception,custom,3,(none),POPULATED LEGACY — needs template flip
desks,benching-desks,custom,1,(none),POPULATED LEGACY — needs template flip
desks,executive-desks,custom,0,base,EMPTY BASE SHELL
desks,global-teknion,custom,0,base,EMPTY BASE SHELL
desks,global-furniture,custom,0,base,EMPTY BASE SHELL
desks,modular-workstations,custom,0,base,EMPTY BASE SHELL
ergonomic-products,height-adjustable-tables,custom,19,(none),POPULATED LEGACY — needs template flip
ergonomic-products,desktop-sit-stand,custom,10,(none),POPULATED LEGACY — needs template flip
ergonomic-products,monitor-arms,custom,8,(none),POPULATED LEGACY — needs template flip
ergonomic-products,keyboard-trays,custom,6,(none),POPULATED LEGACY — needs template flip
ergonomic-products,ergocentric,custom,0,base,EMPTY BASE SHELL
ergonomic-products,ergonomic-accessories,custom,0,base,EMPTY BASE SHELL
panels-room-dividers,room-dividers-panels-dividers,custom,13,(none),POPULATED LEGACY — needs template flip
panels-room-dividers,desk-top-dividers,custom,4,(none),POPULATED LEGACY — needs template flip
panels-room-dividers,modesty-panels,custom,2,(none),POPULATED LEGACY — needs template flip
panels-room-dividers,acoustic-panels,custom,0,base,EMPTY BASE SHELL
panels-room-dividers,privacy-screens,custom,0,base,EMPTY BASE SHELL
quiet-spaces,acoustic-pods,custom,0,base,EMPTY BASE SHELL
quiet-spaces,focus-rooms,custom,0,base,EMPTY BASE SHELL
seating,medium-back-seating,custom,49,(none),POPULATED LEGACY — needs template flip
seating,highback-seating,custom,46,base,POPULATED ON BASE — migrated
seating,mesh-seating,custom,44,(none),POPULATED LEGACY — needs template flip
seating,guest-seating,custom,39,(none),POPULATED LEGACY — needs template flip
seating,leather-faux-seating,custom,32,(none),POPULATED LEGACY — needs template flip
seating,lounge-chairs-seating,custom,16,(none),POPULATED LEGACY — needs template flip
seating,stacking-seating,custom,16,(none),POPULATED LEGACY — needs template flip
seating,stools-seating,custom,15,(none),POPULATED LEGACY — needs template flip
seating,big-heavy-seating,custom,10,(none),POPULATED LEGACY — needs template flip
seating,industrial-seating,custom,8,(none),POPULATED LEGACY — needs template flip
seating,folding-stacking-chairs-carts,custom,7,(none),POPULATED LEGACY — needs template flip
seating,ottomans,custom,7,(none),POPULATED LEGACY — needs template flip
seating,nesting-chairs-chair,custom,5,(none),POPULATED LEGACY — needs template flip
seating,24-hour-seating,custom,4,(none),POPULATED LEGACY — needs template flip
seating,gaming,custom,3,(none),POPULATED LEGACY — needs template flip
seating,cluster-seating,custom,2,(none),POPULATED LEGACY — needs template flip
seating,active-seating,custom,0,base,EMPTY BASE SHELL
seating,beam-seating,custom,0,base,EMPTY BASE SHELL
seating,bench-seating,custom,0,base,EMPTY BASE SHELL
seating,conference-seating,custom,0,base,EMPTY BASE SHELL
seating,executive-seating,custom,0,base,EMPTY BASE SHELL
seating,healthcare-seating,custom,0,base,EMPTY BASE SHELL
seating,keilhauer,custom,0,base,EMPTY BASE SHELL
