keyword,volume,kd,cpc,competition,intent,intent_secondary
best office chair canada,880,18,3.73,HIGH,commercial,transactional
best budget office chair,590,24,1.82,HIGH,commercial,transactional
most comfortable office chair,590,19,1.77,HIGH,informational,commercial
best standing desk canada,480,3,8.04,HIGH,transactional,"navigational,commercial"
best ergonomic office chair canada,320,6,5.4,HIGH,commercial,
best office chairs for long hours,260,8,2.6,HIGH,commercial,
best sit stand desk,210,15,7.23,HIGH,commercial,transactional
heavy duty office chair,170,0,2.36,HIGH,transactional,
best office chair for posture,140,18,2.88,HIGH,commercial,informational
canadian made office chairs,140,0,2.74,HIGH,navigational,"transactional,commercial"
office pods canada,140,0,13.13,HIGH,navigational,
best office chair for tall person,110,1,6.71,HIGH,commercial,informational
soundproof office pod,110,0,7.77,HIGH,transactional,
commercial office furniture,90,0,5.76,HIGH,commercial,transactional
best executive office chair,70,11,2.41,HIGH,commercial,informational
best big and tall office chair,50,16,2.76,HIGH,informational,commercial
best l shaped desk,50,0,3.57,HIGH,commercial,"informational,transactional"
best mesh office chair,50,36,5.82,HIGH,commercial,
best value office chair,50,85,1.2,HIGH,commercial,
best height adjustable desk,40,34,3.67,HIGH,commercial,transactional
best office chair for heavy person,40,38,2.18,HIGH,commercial,
best office chair under 500,40,20,1.27,HIGH,commercial,
canadian office furniture manufacturers,40,17,6.74,HIGH,navigational,
best adjustable desk canada,30,,1.91,HIGH,transactional,commercial
best electric standing desk,30,77,9.27,HIGH,commercial,transactional
best ergonomic chair for back pain,30,46,4.05,HIGH,commercial,informational
best filing cabinet,30,0,1.02,HIGH,transactional,commercial
best high back office chair,20,40,1.71,HIGH,commercial,
best office chair for big guys,20,37,2.05,HIGH,commercial,informational
best office desk canada,20,27,12.32,HIGH,navigational,"commercial,transactional"
best office furniture toronto,20,,13.94,HIGH,commercial,
best task chair,20,85,6.61,HIGH,commercial,transactional
cubicle vs open office,20,,2.58,LOW,informational,
filing cabinet alternatives,20,46,1.52,HIGH,commercial,informational
best 24 hour office chair,10,,4.12,HIGH,commercial,informational
best boardroom chairs,10,,3.78,HIGH,commercial,
best canadian office chair,10,,3.89,HIGH,commercial,informational
best executive desk,10,,3.85,HIGH,commercial,"transactional,informational"
best heavy duty office chair,10,,5.12,HIGH,commercial,
best modular office furniture,10,,3.36,HIGH,commercial,
best office chair for 8 hours,10,,,,commercial,"informational,transactional"
best office chair for sitting long hours,10,53,3.14,HIGH,commercial,
best office cubicles,10,,,MEDIUM,commercial,transactional
best office furniture company,10,,,,commercial,
best office phone booth,10,,,LOW,informational,"navigational,commercial"
best office pods,10,,13.34,HIGH,transactional,"commercial,informational"
best office storage,10,,6.5,HIGH,commercial,transactional
best office workstation,10,,,,commercial,transactional
best place to buy office furniture,10,,3.83,HIGH,commercial,
best reception desk,10,,0.73,HIGH,commercial,informational
best standing desk for office,10,,2.37,HIGH,commercial,
best waiting room chairs,10,,7.4,MEDIUM,commercial,transactional
business office furniture,10,45,9.19,HIGH,navigational,"commercial,transactional"
cheap office chairs canada,10,0,0.68,HIGH,transactional,
commercial office furniture suppliers,10,,1.89,HIGH,commercial,
ergonomic chair vs regular chair,10,,,LOW,informational,commercial
office furniture for business,10,45,9.19,HIGH,commercial,transactional
open plan office furniture,10,,,LOW,transactional,
standing desk vs regular desk,10,,,HIGH,informational,
top office furniture brands,10,,,HIGH,informational,
