decode_group,title,sku,sku_prefix,mpn_barcode,product_type,tags,partial_signal,why_ambiguous,body_excerpt,storefront_link,real_manufacturer
B · decodable SKU prefix,Dual coloured bookcase (15 sizes available) — 15 sizes,BCMB2429WHTSIDEPANEL,BCMB,,,oecm-eligible,prefix=BCMB,SKU prefix 'BCMB' not in the locked prefix->manufacturer lookup; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"FEATURES: SOLID MATCHING BACK STANDARD All outer panels come in white only. Shown in 72"" High Smaller sizes have less shelves SHIPS ASSEMBLED Made in Canada",https://www.brantbusinessinteriors.com/products/dual-coloured-bookcase-15-sizes-available,
B · decodable SKU prefix,Felt acoustic wall tiles,BEL HWS1212-CIR9,BEL,,Sound dampeners wall tiles,oecm-eligible,prefix=BEL · type=Sound dampeners wall tiles,SKU prefix 'BEL' not in the locked prefix->manufacturer lookup; no brand tag (only category/oecm tags); no manufacturer name in title/body.,Silhouette Tiles Harmonious design and acoustic performance is the goal behind our silhouette tiles. We encourage you to have fun mixing and matching this excit,https://www.brantbusinessinteriors.com/products/felt-acoustic-wall-tiles,Global industrial
B · decodable SKU prefix,Planter,BEL-HFP154829-GVS,BEL,,,brand:brant-business-interiors; oecm-eligible,prefix=BEL,SKU prefix 'BEL' not in the locked prefix->manufacturer lookup; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,Made-in-Canada commercial planter with a built-in sound-dampening finish — nature and acoustics working together in your workspace. Brant Business Interiors sou,https://www.brantbusinessinteriors.com/products/planter,Global industrial
B · decodable SKU prefix,Ceiling grids sound acoustic dampeners,BELAIR HCG473608-4DAG12,BELAIR,,,brand:brant-business-interiors; oecm-eligible; type:accessories,prefix=BELAIR,SKU prefix 'BELAIR' not in the locked prefix->manufacturer lookup; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,Tame open-plan noise with modern 12mm felt ceiling acoustic panels — available in multiple colours and sizes for any workspace. Brant Business Interiors sources,https://www.brantbusinessinteriors.com/products/ceiling-grids-sound-acoustic-dampeners-copy,Global industrial
B · decodable SKU prefix,Ceiling grids sound acoustic dampeners orb,BELAIR HCG16-ORB12,BELAIR,,,oecm-eligible,prefix=BELAIR,SKU prefix 'BELAIR' not in the locked prefix->manufacturer lookup; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"We offer multiple solutions to dampen the sound in open area's. Made out of 12mm felt, these modern looking products not only dampen the sound, but also create",https://www.brantbusinessinteriors.com/products/ceiling-grids-sound-acoustic-dampeners-orb,Global industrial
B · decodable SKU prefix,"Desk lamp - 5.30 w LED bulb - adjustable - metal, acrylic - desk mountable",BOSVLED500,BOSVLED,,,oecm-eligible,prefix=BOSVLED,SKU prefix 'BOSVLED' not in the locked prefix->manufacturer lookup; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"Boom arm LED desk lamp provides a ""warm"" full spectrum illumination that most closely resembles natural light for reduced eyestrain with excellent color renderi",https://www.brantbusinessinteriors.com/products/desk-lamp-5-30-w-led-bulb-adjustable-metal-acrylic-desk-mountable,
B · decodable SKU prefix,"Boat shaped conference table — 96"" x 36"" x 29""",BURO-CTBO 9636+ HB9636,BURO,,,oecm-eligible,prefix=BURO,SKU prefix 'BURO' not in the locked prefix->manufacturer lookup; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"DESCRIPTION Conference Table is a perfect addition to an home or office where style, comfort, and functionality are combined Ideal & stylish look for your board",https://www.brantbusinessinteriors.com/products/boat-shaped-conference-table-96-x-36-x-29,
B · decodable SKU prefix,"Links custom reception unit — 60""x72""",CAB1622LOBBF-CTS3636G-DSK2436LR-ECU246048CLF-LTS1224G-LTS1236G,CAB,,,oecm-eligible,prefix=CAB,SKU prefix 'CAB' not in the locked prefix->manufacturer lookup; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"Links Workspaces combine contemporary design and ergonomics, offered in a wide selection of beautiful finishes and textiles to enhance every workspace environme",https://www.brantbusinessinteriors.com/products/links-custom-reception-unit-60x72,Links Contract Furniture
B · decodable SKU prefix,Makerspace tables,DIVERSIFIEDAFT48305,DIVERSIFIEDAFT,,,oecm-eligible,prefix=DIVERSIFIEDAFT,SKU prefix 'DIVERSIFIEDAFT' not in the locked prefix->manufacturer lookup; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"Avenue A-Frame Table Features 1-3/4"" Thick Solid Maple Worksurface 11-gauge steel “L” channel welded to the legs and bolted to dual cross-table supports for add",https://www.brantbusinessinteriors.com/products/makerspace-tables,
B · decodable SKU prefix,Student Desk,DSQ1824OAKBLK,DSQ,,,industry:educational; oecm-eligible; room:private-office; type:desks,prefix=DSQ,SKU prefix 'DSQ' not in the locked prefix->manufacturer lookup; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"The Honor Roll Square Leg Desk with Closed Book Box is attractive, sturdy and durable. A budget-minded desk for all grade levels. Legs are welded to the book bo",https://www.brantbusinessinteriors.com/products/student-desk,
B · decodable SKU prefix,Student Desk,DTS1828P,DTS,,,industry:educational; oecm-eligible; room:private-office; type:desks,prefix=DTS,SKU prefix 'DTS' not in the locked prefix->manufacturer lookup; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"Duet high density multi-purpose stacking tables, 29""w x 25""d x 28""h Duet stacking tables for post-secondary and adult levels are easy to configure, stack and st",https://www.brantbusinessinteriors.com/products/student-desk-1,
B · decodable SKU prefix,Student Chairs (3 sizes),EDU-SOFIA-LEG-14,EDU,,,industry:educational; oecm-eligible; type:chairs,prefix=EDU,SKU prefix 'EDU' not in the locked prefix->manufacturer lookup; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"Features: SOFIA Educational Chairs K-12 Available Seat Finishes: • 3 sizes of chairs - 14”, 16”, 18” • Reinforced with 19mm x 1.7mm thick crossbeams • Base fini",https://www.brantbusinessinteriors.com/products/student-chairs-3-sizes,
B · decodable SKU prefix,Corner maker — 2 sizes,ERG-CS25703,ERG,,,oecm-eligible,prefix=ERG,SKU prefix 'ERG' not in the locked prefix->manufacturer lookup; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"CornerShaper™ The single solution designed to turn vacant right angles into convenient useful workspaces. To enable easy selection, the Corner Shaper™ is availa",https://www.brantbusinessinteriors.com/products/corner-maker-2-sizes,
B · decodable SKU prefix,Oci platinum monitor arms,ERGOACCESS-LR72-927B-G1,ERGOACCESS,,,oecm-eligible,prefix=ERGOACCESS,SKU prefix 'ERGOACCESS' not in the locked prefix->manufacturer lookup; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"Adept Series Monitor Arm Utilizing classic and time tested styling, the Adept Series delivers outstanding performance and a value conscious price tag. With its ",https://www.brantbusinessinteriors.com/products/oci-platinum-monitor-arms,
B · decodable SKU prefix,Ganging plates for terina tables gfcngfp,GLC-GFT3072R,GLC,,,oecm-eligible,prefix=GLC,SKU prefix 'GLC' not in the locked prefix->manufacturer lookup; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,May only be used with Terina Tables,https://www.brantbusinessinteriors.com/products/ganging-plates-for-terina-tables-gfcngfp,
B · decodable SKU prefix,Felt acoustic room dividers,HCA4747-BAM9-T,HCA,,Sound dampeners,oecm-eligible,prefix=HCA · type=Sound dampeners,SKU prefix 'HCA' not in the locked prefix->manufacturer lookup; no brand tag (only category/oecm tags); no manufacturer name in title/body.,DISTRICT SCREENS Acoustic Panels District screens bring an opportunity to make peaceful spaces without building walls. with an added layer of acrylic between th,https://www.brantbusinessinteriors.com/products/felt-acoustic-room-dividers,
B · decodable SKU prefix,Manual height adjustable table,HTM3058T/KEZLIFT,HTM,,,oecm-eligible,prefix=HTM,SKU prefix 'HTM' not in the locked prefix->manufacturer lookup; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,Manually operated height adjustable tables with counterbalanced spring mechanism. Exceptional ergonomic alternative to traditional desking. Sit-Stand design pro,https://www.brantbusinessinteriors.com/products/manual-height-adjustable-table,
B · decodable SKU prefix,Hideaway storage cabinet,JNT5946JC,JNT,,,oecm-eligible,prefix=JNT,SKU prefix 'JNT' not in the locked prefix->manufacturer lookup; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"Large, mobile teacher cabinet is great for storing a multitude of items. Plus, it features a separate, securable storage area for valuables and personal items. ",https://www.brantbusinessinteriors.com/products/hideaway-storage-cabinet-1,
B · decodable SKU prefix,Hardfloor casters,MGE-1091503100000,MGE,,,oecm-eligible,prefix=MGE,SKU prefix 'MGE' not in the locked prefix->manufacturer lookup; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"Merangue 2.5"" 64mm Twin Wheel Caster - 2.50"" Made for Hard Floor Surfaces Sold in 5's",https://www.brantbusinessinteriors.com/products/hardfloor-casters,
B · decodable SKU prefix,Trapezoid tables (3 sizes) — 3 sizes,MYB- AT2448Z,MYB,,,oecm-eligible,prefix=MYB,SKU prefix 'MYB' not in the locked prefix->manufacturer lookup; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"High pressure scratch resistant laminate Chewing gum resistant table backing 3mm vinyl bonded edgeband Rounded corners for safety 16 Gauge 1.25"" diameter steel",https://www.brantbusinessinteriors.com/products/trapezoid-tables-3-sizes,
B · decodable SKU prefix,LED desk lamp with wireless charger - LED,RDL-140QI-B,RDL,,,oecm-eligible,prefix=RDL,SKU prefix 'RDL' not in the locked prefix->manufacturer lookup; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,Wireless Charger Key Features Three color temperature modes. Touch control buttons and rotary metallic knob. SMD LED light.,https://www.brantbusinessinteriors.com/products/led-desk-lamp-with-wireless-charger-led,
B · decodable SKU prefix,LED desk lamp with USB and night light,RSIRDL110U,RSIRDL,,,oecm-eligible,prefix=RSIRDL,SKU prefix 'RSIRDL' not in the locked prefix->manufacturer lookup; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"LED Desk Lamp with USB and Night Light - RDL-110U - 22"" (558.80 mm) Height - 7"" (177.80 mm) Width - 8 W LED Bulb - 450 Lumens - ABS - Desk Mountable - Warm Whit",https://www.brantbusinessinteriors.com/products/led-desk-lamp-with-usb-and-night-light,
B · decodable SKU prefix,Sonoma,Sanoma,SANOMA,,,oecm-eligible,prefix=SANOMA,SKU prefix 'SANOMA' not in the locked prefix->manufacturer lookup; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"Sonoma™ patient and resident room furniture was developed with the help of healthcare professionals, designers and patients to meet the evolving needs of people",https://www.brantbusinessinteriors.com/products/sonoma,
B · decodable SKU prefix,Soft pods,Soft Pods-1,SOFT,,,oecm-eligible,prefix=SOFT,SKU prefix 'SOFT' not in the locked prefix->manufacturer lookup; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,The all NEW SOFTPOD Please contact our Furniture Dept for more information. furnorders@officecentral.com,https://www.brantbusinessinteriors.com/products/soft-pods,
B · decodable SKU prefix,Sphere power,SP22104P030,SP,,,oecm-eligible,prefix=SP,SKU prefix 'SP' not in the locked prefix->manufacturer lookup; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"Two half-spheres SPHERE, as the name suggests, has a spherical design; conveniently, it can be connected from any angle. It comes with two 72"" (6') power cable",https://www.brantbusinessinteriors.com/products/sphere-power,
