handle,origin,collection_id,template_suffix_current,template_suffix_expected,products_count,notes
24-hour-seating,legacy (P3-rollout only),473194987833,(none),base,4,POPULATED LEGACY — P3 was reverted; needs re-flip; 4 products
acoustic-panels,new-shell (Stage 1.6 only),526867497273,base,base,0,Empty shell as expected; awaiting product migration
acoustic-pods,new-shell (Stage 1.6 only),526867562809,base,base,0,Empty shell as expected; awaiting product migration
active-seating,new-shell (Stage 1.6 only),526866907449,base,base,0,Empty shell as expected; awaiting product migration
anti-fatigue-mats,legacy (P3-rollout only),471844290873,(none),base,0,"Legacy with 0 products, no base suffix — P3 reverted, products may be in parent hub"
audio-visual-equipment,legacy (P3-rollout only),487507263801,(none),base,0,"Legacy with 0 products, no base suffix — P3 reverted, products may be in parent hub"
bar-height-tables,legacy (P3-rollout only),473196495161,(none),base,3,POPULATED LEGACY — P3 was reverted; needs re-flip; 3 products
beam-seating,new-shell (Stage 1.6 only),526866940217,base,base,0,Empty shell as expected; awaiting product migration
bench-seating,new-shell (Stage 1.6 only),526866841913,base,base,0,Empty shell as expected; awaiting product migration
benching-desks,legacy (P3-rollout only),473196101945,(none),base,1,POPULATED LEGACY — P3 was reverted; needs re-flip; 1 products
big-heavy-seating,legacy (P3-rollout only),473195086137,(none),base,10,POPULATED LEGACY — P3 was reverted; needs re-flip; 10 products
boardroom-conference-meeting,legacy (P3-rollout only),473198788921,(none),base,11,POPULATED LEGACY — P3 was reverted; needs re-flip; 11 products
boardroom-seating,new-shell (Stage 1.6 only),526867398969,base,base,0,Empty shell as expected; awaiting product migration
boardroom-storage,new-shell (Stage 1.6 only),526867431737,base,base,0,Empty shell as expected; awaiting product migration
bookcases-storage,legacy (P3-rollout only),473349914937,(none),base,13,POPULATED LEGACY — P3 was reverted; needs re-flip; 13 products
cafe-tables,new-shell (Stage 1.6 only),526867628345,base,base,0,Empty shell as expected; awaiting product migration
cafeteria-kitchen-tables,legacy (P3-rollout only),473196462393,(none),base,4,POPULATED LEGACY — P3 was reverted; needs re-flip; 4 products
chair-accessories,legacy (P3-rollout only),471844815161,(none),base,0,"Legacy with 0 products, no base suffix — P3 reverted, products may be in parent hub"
cluster-seating,legacy (P3-rollout only),506551140665,(none),base,2,POPULATED LEGACY — P3 was reverted; needs re-flip; 2 products
coffee-tables,legacy (P3-rollout only),473196364089,(none),base,5,POPULATED LEGACY — P3 was reverted; needs re-flip; 5 products
collaborative-tables,new-shell (Stage 1.6 only),526867824953,base,base,0,Empty shell as expected; awaiting product migration
conference-seating,new-shell (Stage 1.6 only),526866809145,base,base,0,Empty shell as expected; awaiting product migration
credenzas,legacy (P3-rollout only),487507067193,(none),base,9,POPULATED LEGACY — P3 was reverted; needs re-flip; 9 products
desk-accessories,OVERLAP — both P3-rollout AND Stage 1.6,526867071289,base,base,0,DUPLICATE — Stage 1.6 created NEW shell for same handle as P3 legacy; pc=0
desk-top-dividers,legacy (P3-rollout only),473196659001,(none),base,4,POPULATED LEGACY — P3 was reverted; needs re-flip; 4 products
desktop-accessories,new-shell (Stage 1.6 only),526867333433,base,base,0,Empty shell as expected; awaiting product migration
desktop-sit-stand,legacy (P3-rollout only),473196298553,(none),base,10,POPULATED LEGACY — P3 was reverted; needs re-flip; 10 products
drafting-tables,legacy (P3-rollout only),487507525945,(none),base,7,POPULATED LEGACY — P3 was reverted; needs re-flip; 7 products
end-tab-filing-storage,legacy (P3-rollout only),473196921145,(none),base,1,POPULATED LEGACY — P3 was reverted; needs re-flip; 1 products
end-tables-tables,legacy (P3-rollout only),473196396857,(none),base,5,POPULATED LEGACY — P3 was reverted; needs re-flip; 5 products
ergocentric,new-shell (Stage 1.6 only),526866710841,base,base,0,Empty shell as expected; awaiting product migration
ergonomic-accessories,new-shell (Stage 1.6 only),526867464505,base,base,0,Empty shell as expected; awaiting product migration
executive-desks,new-shell (Stage 1.6 only),526867005753,base,base,0,Empty shell as expected; awaiting product migration
executive-seating,new-shell (Stage 1.6 only),526866776377,base,base,0,Empty shell as expected; awaiting product migration
filing-accessories,deleted,,N/A,base,N/A,NOT FOUND in current Shopify inventory
fire-resistant-file-cabinets-storage,legacy (P3-rollout only),473349620025,(none),base,6,POPULATED LEGACY — P3 was reverted; needs re-flip; 6 products
fire-resistant-safes-storage,legacy (P3-rollout only),473349423417,(none),base,11,POPULATED LEGACY — P3 was reverted; needs re-flip; 11 products
focus-rooms,new-shell (Stage 1.6 only),526867595577,base,base,0,Empty shell as expected; awaiting product migration
folding-stacking-chairs-carts,legacy (P3-rollout only),471653286201,(none),base,7,POPULATED LEGACY — P3 was reverted; needs re-flip; 7 products
folding-tables-tables,legacy (P3-rollout only),473350209849,(none),base,8,POPULATED LEGACY — P3 was reverted; needs re-flip; 8 products
gaming,legacy (P3-rollout only),476853895481,(none),base,3,POPULATED LEGACY — P3 was reverted; needs re-flip; 3 products
global-furniture,new-shell (Stage 1.6 only),526866743609,base,base,0,Empty shell as expected; awaiting product migration
global-teknion,new-shell (Stage 1.6 only),526866678073,base,base,0,Empty shell as expected; awaiting product migration
guest-seating,legacy (P3-rollout only),472894112057,(none),base,39,POPULATED LEGACY — P3 was reverted; needs re-flip; 39 products
healthcare-seating,new-shell (Stage 1.6 only),526866874681,base,base,0,Empty shell as expected; awaiting product migration
height-adjustable-tables,legacy (P3-rollout only),473195905337,(none),base,19,POPULATED LEGACY — P3 was reverted; needs re-flip; 19 products
height-adjustable-tables-desks,legacy (P3-rollout only),474620920121,(none),base,21,POPULATED LEGACY — P3 was reverted; needs re-flip; 21 products
high-density-storage,new-shell (Stage 1.6 only),526867300665,base,base,0,Empty shell as expected; awaiting product migration
highback-seating,legacy (P3-rollout only),473194529081,base,base,46,POPULATED LEGACY on base — migrated (highback-seating case)
hutch,legacy (P3-rollout only),494681751865,(none),base,2,POPULATED LEGACY — P3 was reverted; needs re-flip; 2 products
industrial-seating,legacy (P3-rollout only),491934023993,(none),base,8,POPULATED LEGACY — P3 was reverted; needs re-flip; 8 products
keilhauer,new-shell (Stage 1.6 only),526866645305,base,base,0,Empty shell as expected; awaiting product migration
keyboard-trays,legacy (P3-rollout only),473196265785,(none),base,6,POPULATED LEGACY — P3 was reverted; needs re-flip; 6 products
l-shape-desks-desks,legacy (P3-rollout only),473351094585,(none),base,31,POPULATED LEGACY — P3 was reverted; needs re-flip; 31 products
lateral-files-storage,legacy (P3-rollout only),471657972025,(none),base,7,POPULATED LEGACY — P3 was reverted; needs re-flip; 7 products
lateral-storage-combo-storage,legacy (P3-rollout only),473370100025,(none),base,5,POPULATED LEGACY — P3 was reverted; needs re-flip; 5 products
leather-faux-seating,legacy (P3-rollout only),473194627385,(none),base,32,POPULATED LEGACY — P3 was reverted; needs re-flip; 32 products
lecterns-podiums,legacy (P3-rollout only),487507231033,(none),base,5,POPULATED LEGACY — P3 was reverted; needs re-flip; 5 products
lockers,legacy (P3-rollout only),487201374521,(none),base,6,POPULATED LEGACY — P3 was reverted; needs re-flip; 6 products
lounge-chairs-seating,legacy (P3-rollout only),473280184633,(none),base,16,POPULATED LEGACY — P3 was reverted; needs re-flip; 16 products
