product_id,product_handle,current_title,current_vendor,current_body_first_200,detected_manufacturer,classification,confidence,confidence_tier,primary_signal,evidence_summary,recommended_vendor_correction,sub_brand_detected,decision,product_type,sku_sample,sku_prefix,barcode_sample,ambiguous_prefix
9039328477497,ultra-armless-high-back-tilter-black,Ultra | Armless High Back Tilter Black,Brant Business Interiors,Unique back frame designed with wrap around mesh back High Back. Pneumatic seat height adjustment. Seat depth adjustment. Tilt lock. Tilt tension adjustment. Height adjustable arms. Black. Main Featur,NONE,AMBIGUOUS,UNKNOWN,,,no manufacturer signal; sku_prefix=none,NONE,,,,,,,(no-sku)
9039374582073,workstation-u-shape,Workstation U Shape,Brant Business Interiors,Unique back frame designed with wrap around mesh back High Back. Pneumatic seat height adjustment. Seat depth adjustment. Tilt lock. Tilt tension adjustment. Height adjustable arms. Black. Main Featur,NONE,AMBIGUOUS,UNKNOWN,,,no manufacturer signal; sku_prefix=none,NONE,,,,,,,(no-sku)
9039376023865,desk-u-shape-mlp205-1,Desk u-shape,Brant Business Interiors,"NEWLAND | ""U"" SHAPED SUITE - 72""W X 102""D Newland - simple and modular components combining classic design, quality and value to support a wide range of workspace applications. From private offices, o",Global Furniture Group,CONFIDENT,HIGH,tier2,sku_subcode: SKU sub-code NLP (e.g. NLP321) (sku),[HIGH] sku_subcode:'SKU sub-code NLP (e.g. NLP321)' in sku->Global Furniture Group,Global Furniture Group,,,,NLP321,NLP,,
9039381201209,unisource-promeltslice-ice-melting-compound-crystal-20-kg,Unisource PromeltSlice Ice Melting Compound - Crystal - 20 kg,Brant Business Interiors,Unique back frame designed with wrap around mesh back High Back. Pneumatic seat height adjustment. Seat depth adjustment. Tilt lock. Tilt tension adjustment. Height adjustable arms. Black. Main Featur,NONE,AMBIGUOUS,UNKNOWN,,,no manufacturer signal; sku_prefix=none,NONE,,,,,,,(no-sku)
9039398764857,haag-shell-jacket-mens-4x-large-black-1,"Haag Shell Jacket, Men's, 4X-Large, Black",Brant Business Interiors,Unique back frame designed with wrap around mesh back High Back. Pneumatic seat height adjustment. Seat depth adjustment. Tilt lock. Tilt tension adjustment. Height adjustable arms. Black. Main Featur,NONE,AMBIGUOUS,UNKNOWN,,,no manufacturer signal; sku_prefix=none,NONE,,,,,,,(no-sku)
9039399780665,haag-shell-jacket-mens-4x-large-black-2,"Haag Shell Jacket, Men's, 4X-Large, Black",Brant Business Interiors,Unique back frame designed with wrap around mesh back High Back. Pneumatic seat height adjustment. Seat depth adjustment. Tilt lock. Tilt tension adjustment. Height adjustable arms. Black. Main Featur,NONE,AMBIGUOUS,UNKNOWN,,,no manufacturer signal; sku_prefix=none,NONE,,,,,,,(no-sku)
9039401713977,honor-roll-dsq-1824-pb-table-desk-square-leg-base-4-legs-x-24-table-top-width-x-18-table-top-depth-5-each,"Honor roll -dsq-1824-pb table desk - square leg base - 4 legs x 24"" table top width x 18"" table top depth 5 each — 18""",Brant Business Interiors,"Honor Roll series square-leg base table desk with a 24"" × 18"" work surface. Its compact footprint makes it a fit for training rooms, breakout spaces, touchdown stations, and child-sized work areas. Fo",NONE,AMBIGUOUS,UNKNOWN,,,no manufacturer signal; sku_prefix=none,NONE,,,,,,,(no-sku)
9039403024697,1-1-2-drawer-high-lateral-cabinet-4,1 1/2 Drawer High Lateral Cabinet,Brant Business Interiors,"- 30"" x 19.3"" x 21.3"" - 2 x Drawer(s) for Box, File - L- 30"" x 19.3"" x 21.3"" - 2 x Drawer legal, Letter - Lateral - Welded, Eco-friendly, Ball-bearing Suspension, Recyclable, Interlocking, Durable, Ke",NONE,AMBIGUOUS,UNKNOWN,,,no manufacturer signal; sku_prefix=none,NONE,,,,,,,(no-sku)
9039407841593,original-hydro-parkas-mens-medium-navy-blue,"Original ""Hydro"" Parkas, Men's, Medium, Navy Blue",Brant Business Interiors,Unique back frame designed with wrap around mesh back High Back. Pneumatic seat height adjustment. Seat depth adjustment. Tilt lock. Tilt tension adjustment. Height adjustable arms. Black. Main Featur,NONE,AMBIGUOUS,UNKNOWN,,,no manufacturer signal; sku_prefix=none,NONE,,,,,,,(no-sku)
9103188459833,boat-shaped-conference-table-96-x-36-x-29,"Boat shaped conference table — 96"" x 36"" x 29""",Brant Business Interiors,"DESCRIPTION Conference Table is a perfect addition to an home or office where style, comfort, and functionality are combined Ideal & stylish look for your boardroom Boardroom tables are available for ",NONE,AMBIGUOUS,UNKNOWN,,,no manufacturer signal; sku_prefix=BURO,NONE,,,,BURO-CTBO 9636+ HB9636,BURO,,BURO
9114228523321,aktivity-rectangle-height-adjustable-table,Aktivity Rectangle Height Adjustable Table,Brant Business Interiors,"Available in the following sizes: 24"" x 24"", 24"" x 48"", 24"" x 60"" and 30"" x 60"" Available in the following heights: 17"" - 25"", 22"" - 30"" and 30"" - 42"" Maple high pressure scratch resistant laminate Si",MityBilt,CONFIDENT,HIGH,tier1,sku_prefix: SKU prefix MTY (e.g. MTY-IS-AT2424) (sku),[HIGH] sku_prefix:'SKU prefix MTY (e.g. MTY-IS-AT2424)' in sku->MityBilt,MityBilt,,,,MTY-IS-AT2424,MTY,,
9455162884409,desk-double-pedestal,Desk double pedestal,Brant Business Interiors,Box/box/file and file/file pedestal positions are reversible,Global Furniture Group,CONFIDENT,HIGH,tier2,sku_subcode: SKU sub-code NLP (e.g. NLP109) (sku),[HIGH] sku_subcode:'SKU sub-code NLP (e.g. NLP109)' in sku->Global Furniture Group,Global Furniture Group,,,,NLP109,NLP,,
9455233368377,desk-l-shape-with-drawers,Desk l-shape with drawers,Brant Business Interiors,"NEWLAND | ""L"" SHAPED DESK WITH PEDESTAL - 66""W X 66""D Newland - simple and modular components combining classic design, quality and value to support a wide range of workspace applications. From privat",NONE,AMBIGUOUS,UNKNOWN,,,no manufacturer signal; sku_prefix=none,NONE,,,,,,,(no-sku)
