keyword,volume,kd,cpc,competition,intent,intent_secondary,seed
best office chairs,4400,17,3.77,HIGH,commercial,transactional,best office chair
folding table canadian tire,4400,0,0.8,HIGH,transactional,,conference table
under desk treadmill,3600,3,1.05,HIGH,transactional,,standing desk
office chairs canada,2900,0,3.01,HIGH,navigational,"commercial,transactional",best office chair
standing desk canada,2400,0,5.66,HIGH,commercial,"navigational,transactional",best office chair
standing desks canada,2400,0,5.66,HIGH,commercial,"navigational,transactional",best office chair
laptop table,1900,0,0.44,HIGH,transactional,,conference table
best ergonomic office chair,1600,14,3.97,HIGH,commercial,transactional,best office chair
foot rest under desk,1600,0,0.71,HIGH,transactional,,best office chair
laptop stand for desk,1600,2,0.65,HIGH,transactional,,standing desk
office chairs canadian tire,1300,0,0.67,HIGH,navigational,transactional,best office chair
roll top desk,1300,0,0.54,HIGH,transactional,,standing desk
sit stand desk canada,1000,0,5.5,HIGH,navigational,,best office chair
best buy office chairs,880,3,0.99,HIGH,transactional,,best office chair
best office chairs canada,880,30,3.73,HIGH,commercial,,best office chair
computer desk canada,880,0,1.97,HIGH,navigational,,best office chair
best standing desk,880,8,5.64,HIGH,commercial,transactional,standing desk
under desk drawer,880,0,1,HIGH,transactional,,standing desk
best buy standing desk,880,0,0.47,HIGH,transactional,,standing desk
under desk bike,880,0,0.34,HIGH,transactional,,standing desk
lumbar support for office chair,720,0,0.94,HIGH,transactional,,best office chair
office desk canada,720,0,5.43,HIGH,navigational,commercial,best office chair
drop top desk,720,0,0.38,HIGH,transactional,,standing desk
under desk storage,720,0,0.62,HIGH,transactional,,standing desk
most comfortable office chair,590,19,1.77,HIGH,informational,commercial,best office chair
scentsy canada workstation,590,21,3.27,LOW,navigational,,best office chair
best budget office chair,590,24,1.82,HIGH,commercial,transactional,best office chair
best desk chairs,590,15,4.46,HIGH,commercial,transactional,ergonomic office chair
compact treadmill under desk,590,6,0.3,LOW,transactional,,standing desk
under desk treadmill compact,590,18,0.3,LOW,transactional,,standing desk
laptop desk for bed,590,0,0.45,HIGH,transactional,,standing desk
under desk cable management,590,0,0.78,HIGH,transactional,"informational,commercial",standing desk
bunk bed under desk,590,0,0.53,HIGH,transactional,,standing desk
best home office chair,480,20,3.71,HIGH,commercial,,best office chair
ergonomic office chair canada,480,1,3.96,HIGH,navigational,,best office chair
murphy bed with desk canada,480,0,1.24,HIGH,navigational,transactional,best office chair
home office desk canada,480,0,2.53,HIGH,navigational,,best office chair
under desk keyboard tray,480,0,1.05,HIGH,transactional,,standing desk
best computer chair,480,7,3.14,HIGH,commercial,transactional,heavy duty office chair
best office chair for back pain,390,28,2.35,HIGH,commercial,informational,office pod
